GrpCode,MenuCode,GroupName,ChineseGroupName,Name,ChineseName,PNU,DefaultValue,Min,Max,Unit,Scale,Datatype,Enum,ChineseEnum,ModelCodeValue,ReadOnly,AccLevelR,AccLevelW,Help,LicenseKey,User,BitPosition,Decimal,Visibility,VariableName,UniqueID
"M24","r12","Main menu|Start / Stop","Main menu|Start / Stop","Main switch","Main switch","117","0.0","-1.0","1.0","","0.0","Enum","-1:Manual,0:Stop,1:Start","-1:Manual,0:Stop,1:Start","0","0","1","2","Start / stop of refrigeration. 
With this setting refrigeration can be started, stopped or a manual override of the outputs can be allowed. (For manual control the value is set at -1. Then the outputs can be force controlled. Start / stop of refrigeration can also be accomplished with the external switch function connected to a DI input.
Stopped control will give a ”Standby alarm.","LIC001","1,2,3","0","1.0","","Id_1048586","1048586"
"QCK","o61","Main menu|Configuration","Main menu|Configuration","Application mode","Application mode","2077","1.0","1.0","9.0","","0.0","Enum","1:Comp/Alarm/Light,2:Comp/Rail/Light,3:Comp/Alarm/Rail,4:Alarm/Rail/Light,5:Hotgas remote,6:Dual with 1 evap.,7:Dual with 2 evap.,8:Coldroom,9:Custom","1:Comp/Alarm/Light,2:Comp/Rail/Light,3:Comp/Alarm/Rail,4:Alarm/Rail/Light,5:Hotgas remote,6:Dual with 1 evap.,7:Dual with 2 evap.,8:Coldroom,9:Custom","0","0","1","2","Selection of application 
The controller covers several applications for control of a refrigerated case. Here you set which of the possible applications is required.
This menu can only be set when regulation is stopped, i.e. “r12 Main Switch” is set to 0.","LIC001","1,2,3","0","1.0","","Id_1053441","1053441"
"M02","q02","Main menu|Configuration","Main menu|Configuration","DO2 Configuration","DO2 Configuration","2205","6.0","0.0","10.0","","0.0","Enum","0:None,1:Fans,2:Fan ECO,3:Defrost,4:Railheat,5:Alarm,6:Light,7:Blinds,8:Compressor 1,9:Compressor 2,10:Air heater","0:None,1:Fans,2:Fan ECO,3:Defrost,4:Railheat,5:Alarm,6:Light,7:Blinds,8:Compressor 1,9:Compressor 2,10:Air heater","0","0","1","2","Select the function of the digital output","LIC001","1,2,3","0","1.0","Id_1053441 == 9","Id_1056110","1056110"
"M02","q03","Main menu|Configuration","Main menu|Configuration","DO3 Configuration","DO3 Configuration","2206","8.0","0.0","10.0","","0.0","Enum","0:None,1:Fans,2:Fan ECO,3:Defrost,4:Railheat,5:Alarm,6:Light,7:Blinds,8:Compressor 1,9:Compressor 2,10:Air heater","0:None,1:Fans,2:Fan ECO,3:Defrost,4:Railheat,5:Alarm,6:Light,7:Blinds,8:Compressor 1,9:Compressor 2,10:Air heater","0","0","1","2","Select the function of the digital output","LIC001","1,2,3","0","1.0","Id_1053441 == 9","Id_1056125","1056125"
"M02","q04","Main menu|Configuration","Main menu|Configuration","DO4 Configuration","DO4 Configuration","2207","9.0","0.0","10.0","","0.0","Enum","0:None,1:Fans,2:Fan ECO,3:Defrost,4:Railheat,5:Alarm,6:Light,7:Blinds,8:Compressor 1,9:Compressor 2,10:Air heater","0:None,1:Fans,2:Fan ECO,3:Defrost,4:Railheat,5:Alarm,6:Light,7:Blinds,8:Compressor 1,9:Compressor 2,10:Air heater","0","0","1","2","Select the function of the digital output","LIC001","1,2,3","0","1.0","Id_1053441 == 9","Id_1056140","1056140"
"M02","q05","Main menu|Configuration","Main menu|Configuration","DO5 Configuration","DO5 Configuration","2208","3.0","0.0","10.0","","0.0","Enum","0:None,1:Fans,2:Fan ECO,3:Defrost,4:Railheat,5:Alarm,6:Light,7:Blinds,8:Compressor 1,9:Compressor 2,10:Air heater","0:None,1:Fans,2:Fan ECO,3:Defrost,4:Railheat,5:Alarm,6:Light,7:Blinds,8:Compressor 1,9:Compressor 2,10:Air heater","0","0","1","2","Select the function of the digital output","LIC001","1,2,3","0","1.0","Id_1053441 == 9","Id_1056155","1056155"
"M02","q06","Main menu|Configuration","Main menu|Configuration","DO6 Configuration","DO6 Configuration","2209","1.0","0.0","10.0","","0.0","Enum","0:None,1:Fans,2:Fan ECO,3:Defrost,4:Railheat,5:Alarm,6:Light,7:Blinds,8:Compressor 1,9:Compressor 2,10:Air heater","0:None,1:Fans,2:Fan ECO,3:Defrost,4:Railheat,5:Alarm,6:Light,7:Blinds,8:Compressor 1,9:Compressor 2,10:Air heater","0","0","1","2","Select the function of the digital output","LIC001","1,2,3","0","1.0","Id_1053441 == 9","Id_1056170","1056170"
"M02","q09","Main menu|Configuration","Main menu|Configuration","AO1 Configuration","AO1 Configuration","2212","0.0","0.0","1.0","","0.0","Enum","0:None,1:Railheat PWM","0:None,1:Railheat PWM","0","0","1","2","Select the function of the analogue output","LIC001","1,2,3","0","1.0","Id_1053441 > 0","Id_1056251","1056251"
"M02","o02","Main menu|Configuration","Main menu|Configuration","DI1 Configuration","DI1 Configuration","2001","0.0","0.0","21.0","","0.0","Enum","0:None,1:DI status,2:Door function,3:Door alarm,4:Defrost start,5:Main switch,6:Night setback,7:Thermostat band,8:Alarm at closed,9:Alarm at open,10:Case cleaning,11:Forced cooling,12:Open blinds,13:Coordinated defrost,14:Forced closing,15:Shutdown,16:Light control,20:Leak detection,21:Flooded inject","0:None,1:DI status,2:Door function,3:Door alarm,4:Defrost start,5:Main switch,6:Night setback,7:Thermostat band,8:Alarm at closed,9:Alarm at open,10:Case cleaning,11:Forced cooling,12:Open blinds,13:Coordinated defrost,14:Forced closing,15:Shutdown,16:Light control,20:Leak detection,21:Flooded inject","0","0","1","2","Select the function of the digital input","LIC001","1,2,3","0","1.0","Id_1053441 > 0 && Id_1053441 != 7 && Id_1053441 != 8","Id_1056200","1056200"
"M02","o37","Main menu|Configuration","Main menu|Configuration","DI2 Configuration","DI2 Configuration","2055","0.0","0.0","21.0","","0.0","Enum","0:None,1:DI status,2:Door function,3:Door alarm,4:Defrost start,5:Main switch,6:Night setback,7:Thermostat band,8:Alarm at closed,9:Alarm at open,10:Case cleaning,11:Forced cooling,12:Open blinds,13:Coordinated defrost,14:Forced closing,15:Shutdown,16:Light control,20:Leak detection,21:Flooded inject","0:None,1:DI status,2:Door function,3:Door alarm,4:Defrost start,5:Main switch,6:Night setback,7:Thermostat band,8:Alarm at closed,9:Alarm at open,10:Case cleaning,11:Forced cooling,12:Open blinds,13:Coordinated defrost,14:Forced closing,15:Shutdown,16:Light control,20:Leak detection,21:Flooded inject","0","0","1","2","Select the function of the digital input","LIC001","1,2,3","0","1.0","Id_1053441 > 0","Id_1056217","1056217"
"M02","o84","Main menu|Configuration","Main menu|Configuration","DI3 Configuration","DI3 Configuration","2115","0.0","0.0","21.0","","0.0","Enum","0:None,1:DI status,2:Door function,3:Door alarm,4:Defrost start,5:Main switch,6:Night setback,7:Thermostat band,8:Alarm at closed,9:Alarm at open,10:Case cleaning,11:Forced cooling,12:Open blinds,13:Coordinated defrost,14:Forced closing,15:Shutdown,16:Light control,20:Leak detection,21:Flooded inject","0:None,1:DI status,2:Door function,3:Door alarm,4:Defrost start,5:Main switch,6:Night setback,7:Thermostat band,8:Alarm at closed,9:Alarm at open,10:Case cleaning,11:Forced cooling,12:Open blinds,13:Coordinated defrost,14:Forced closing,15:Shutdown,16:Light control,20:Leak detection,21:Flooded inject","0","0","1","2","Select the function of the digital input","LIC001","1,2,3","0","1.0","Id_1053441 > 0","Id_1056234","1056234"
"QCK","o30","Main menu|Configuration","Main menu|Configuration","Refrigerant","Refrigerant","2551","0.0","0.0","42.0","","0.0","Enum","0:Not seleted,1:Custom 3 digit,6:R13,7:R13b1,2:R22,8:R23,14:R32,11:R114,3:R134a,12:R142b,24:R170,15:R227,25:R290,16:R401A,18:R402A,19:R404A,21:R407A,22:R407B,20:R407C,37:R407F,23:R410A,32:R413A,30:R417A,31:R422A,33:R422D,34:R427A,35:R438A,9:R500,4:R502,10:R503,17:R507,26:R600,27:R600a,5:R717,28:R744,29:R1270,36:R513A,38:R1234ze,39:R1234yf,40:R448A,41:R449A,42:R452A,13:User defined","0:Not seleted,1:Custom 3 digit,6:R13,7:R13b1,2:R22,8:R23,14:R32,11:R114,3:R134a,12:R142b,24:R170,15:R227,25:R290,16:R401A,18:R402A,19:R404A,21:R407A,22:R407B,20:R407C,37:R407F,23:R410A,32:R413A,30:R417A,31:R422A,33:R422D,34:R427A,35:R438A,9:R500,4:R502,10:R503,17:R507,26:R600,27:R600a,5:R717,28:R744,29:R1270,36:R513A,38:R1234ze,39:R1234yf,40:R448A,41:R449A,42:R452A,13:User defined","0","0","1","2","Select the type of refrigerant","LIC001","1,2,3","0","1.0","Id_1053441 > 0","Id_1048610","1048610"
"M02","P83","Main menu|Configuration","Main menu|Configuration","Refrigerant factor K1","Refrigerant factor K1","2201","300.0","-999.0","999.0","","0.0","Float","","","0","0","1","2","Refrigerant factor for a custom refrigerant - please contact Danfoss for detailed information","LIC001","1,2,3","0","1.0","Id_1053441 > 0 && Id_1048610 == 1","Id_1048614","1048614"
"M02","P84","Main menu|Configuration","Main menu|Configuration","Refrigerant factor K2","Refrigerant factor K2","2202","-900.0","-999.0","999.0","","0.0","Float","","","0","0","1","2","Refrigerant factor for a custom refrigerant - please contact Danfoss for detailed information","LIC001","1,2,3","0","1.0","Id_1053441 > 0 && Id_1048610 == 1","Id_1048615","1048615"
"M02","P85","Main menu|Configuration","Main menu|Configuration","Refrigerant factor K3","Refrigerant factor K3","2203","300.0","-999.0","999.0","","0.0","Float","","","0","0","1","2","Refrigerant factor for a custom refrigerant - please contact Danfoss for detailed information","LIC001","1,2,3","0","1.0","Id_1053441 > 0 && Id_1048610 == 1","Id_1048616","1048616"
"M02","x65","Main menu|Configuration","Main menu|Configuration","Refrigerant factor A1","Refrigerant factor A1","2548","8000.0","8000.0","12000.0","","0.0","Float","","","0","0","1","2","Refrigerant factor for a custom refrigerant - please contact Danfoss for detailed information","LIC001","1,2,3","0","1.0","Id_1053441 > 0 && Id_1048610 == 13","Id_1048611","1048611"
"M02","x66","Main menu|Configuration","Main menu|Configuration","Refrigerant factor A2","Refrigerant factor A2","2549","-1000.0","-4000.0","-1000.0","","0.0","Float","","","0","0","1","2","Refrigerant factor for a custom refrigerant - please contact Danfoss for detailed information","LIC001","1,2,3","0","1.0","Id_1053441 > 0 && Id_1048610 == 13","Id_1048612","1048612"
"M02","x67","Main menu|Configuration","Main menu|Configuration","Refrigerant factor A3","Refrigerant factor A3","2550","1000.0","1000.0","3000.0","","0.0","Float","","","0","0","1","2","Refrigerant factor for a custom refrigerant - please contact Danfoss for detailed information","LIC001","1,2,3","0","1.0","Id_1053441 > 0 && Id_1048610 == 13","Id_1048613","1048613"
"QCK","o20","Main menu|Configuration","Main menu|Configuration","Pe Evap. pressure/Min range","Pe Evap. pressure/Min range","2034","-1.0","-1.0","5.0","Bar-g","0.0","Float","","","0","0","1","2","Minimum measuring range for sensor","LIC001","1,2,3","0","10.0","Id_1053441 > 0","Id_1053752","1053752"
"QCK","o21","Main menu|Configuration","Main menu|Configuration","Pe Evap. pressure/Max  range","Pe Evap. pressure/Max  range","2033","12.0","6.0","200.0","Bar-g","0.0","Float","","","0","0","1","2","Maximum measuring range for sensor","LIC001","1,2,3","0","10.0","Id_1053441 > 0","Id_1053751","1053751"
"QCK","o06","Main menu|Configuration","Main menu|Configuration","Temperature sensor type","Temperature sensor type","2014","0.0","0.0","3.0","","0.0","Enum","0:Pt 1000,1:PTC 1000,2:NTC 5k,3:NTC 10k","0:Pt 1000,1:PTC 1000,2:NTC 5k,3:NTC 10k","0","0","1","2","Sensor type for S3, S4 and S5. 
Normally a Pt 1000 sensor with great signal accuracy is used. But you can also use a sensor with another signal accuracy. That may either be a PTC sensor (1000 ohm at 25°C) All the mounted sensors S3-S5 must be of the same type. 
0 = Pt 1000
1 = PTC 1000
2 = NTC 5k
3 = NTC 10k","LIC001","1,2,3","0","1.0","Id_1053441 > 0","Id_1053444","1053444"
