S No,Parameter Name,Menu Code,Default Value_C,Default Value_F,Min_C,Min_F,Max_C,Max_F,Unit,Enum,Description,,,,
1,Sensor Type,SEn,NTC10K,NTC10K,,,,,,"0:NTC5K,1:NTC10K,2:PTC","Sensor type (All sensors must be of same type)
NTC5K - NTC 5000 Ohm at 25 °C (Beta value=3980 @ 25/100 °C)
NTC10K - NTC 10000 Ohm at 25 °C (Beta Value 3980 @ 25/100 °C)
PTC - PTC 990 ",,,,
2,S2 Configuration,S2C,EuA,EuA,,,,,,"0:nC,1:Con,2:EuA,3:doC,4:doo,5:ESP,6:Est,7:Pud,8:dES
","Desired configuration for S2 port
nC- Not used/configured
Con- Condenser Sensor
EuA- Defrost/evap Sensor
doC- Door Sensor (Normally closed type)
doo- Door Sensor (Normally open type)
ESP- Eco Switch - Push button type
ESt- ECO Switch - Toggle type
Pud- Pull down switch - Push Button type only
dES- Defrost switch -- Push Button type only",,,,
3,S3 Configuration,S3C,nC,nC,,,,,,"0:nC,1:Con,2:EuA,3:doC,4:doo,5:ESP,6:Est,7:Pud,8:dES
","Desired configuration for S3 port
nC- Not used/configured
Con- Condenser Sensor
EuA- Defrost/evap Sensor
doC- Door Sensor (Normally closed type)
doo- Door Sensor (Normally open type)
ESP- Eco Switch - Push button type
ESt- ECO Switch - Toggle type
Pud- Pull down switch - Push Button type only
dES- Defrost switch -- Push Button type only",,,,
4,Relay 2 Config,o2C,dEF,dEF,,,,,,"0:nC,1:dEF,2:Fan,3:Lig,4:ALA,5:Scc
","Desired configuration for relay 2
nC-Not Connected
dEF- Configured for defrost heater or defrost valve
FAn- Configured for evaporator fan
LIg - Configured for Cabinet Light
ALA- Configured for External Alarm
Scc - Second compressor",,,,
5,Relay 3 Config,o3C,Fan,Fan,,,,,nC,"0:nC,1:dEF,2:Fan,3:Lig,4:ALA,5:Scc
","Desired configuration for relay 3
nC-Not Connected
dEF- Configured for defrost heater or defrost valve
FAn- Configured for evaporator fan
LIg - Configured for Cabinet Light
ALA- Configured for External Alarm
Scc - Second compressor",,,,
6,Lowest Temperature Limit,LSE,0,32,-100,-148,120,248,°F,,Cut out temperature at coldest position of the spindle (thermostat kNob),,,,
7,Highest Temperature Limit,HSE,10,50,-100,-148,120,248,°F,,Cut out temperature at warmest position of the spindle (thermostat kNob),,,,
8,Lowest Temperature Differential,Ldi,2,3.6,1,1.8,50,90,°F,,This defines the difference between the cut-out and the cut-in at coldest position of thermostat,,,,
9,Highest Temperature Differential,Hdi,2,3.6,1,1.8,50,90,°F,,This defines the difference between the cut-out and the cut-in at warmest position of thermostat,,,,
10,Initial pull down ON/OFF,IPE,OFF,OFF,,,,,,"0:OFF,1:ON","Initial Pull down 
oFF- Disable
on- Enable
Initial pull down (IPD) is to provide faster cooling when the cabinet is powered up with warmer inside temperature.  During IPD, defrost will be skipped until cabinet air temperature reaches cut out temperature or IPD duration expires. IPD operates only during power up and can be enabled/disabled using this parameter",,,,
11,IPD and Pull down Duration,IPD,0,0,0,0,120,120,Hrs,,Maximum time IPD and Pull down can run. IPD and Pull down will terminate as soon as this time expires regardless of cab air temperature,,,,
12,IPD and Pull down Initiate temperature,Pit,50,122,-50,-58,120,248,°F,,"This parameter indicates the temperature at which IPD or Pulldown will be initiated. 
- At Power up: If cab air temp>Pit for more than 5 minutes trigger the Initial pull down
- During Normal operation:  if the cab air temp stays above Pit>1hr trigger the Pull down",,,,
13,Pull Down Limit temperature,PLt,0,32,-100,-148,120,248,°F,,This parameter sets the cut out temperature during Pull-down cycle to achieve more cooling. Controller will exit the pull down once this temperature is achieved or expiry of  pull down duration (IPD) ,,,,
14,Min Run time,Crt,0,0,0,0,1800,1800,Secs,,"To prevent the compressor from frequent cut-outs, this parameter would ensure that the  compressor runs for atleast the specified time. This parameter overrides the cut-out temperature. [Tip: Setting this parameter too high could lead to unneccessary deep temperatures]",,,,
15,Min Stop time,CSt,120,120,0,0,1800,1800,Secs,,"To prevent the compressor from frequent cut-ins, this parameter would ensure that the  compressor remains off for atleast the specified time under this parameter. This parameter overrides the cut-in temperatures. [Tip: Setting this parameter too high could lead to unneccessary warm temperatures]",,,,
16,Compressor stop delay on door open,Cdd,0,0,0,0,999,999,Secs,,"This parameter sets the delay in stopping the compressor when  door is opened. If set ""0"" compressor stops immediately.  If set 999 it will disable the function and doesNot stop the compressor",,,,
17,System Resume after door open,Srt,0,0,0,0,60,60,Mins,,"If door is kept open for long time, compressor and fan will resume after this time if they switched off due to door open. [Note : 'Srt' must be always greater than' Cdd' and 'Fdt']
If Srt=0, System resume feature disabled and system will resume only when the door is closed.",,,,
18,Second Compressor start delay,Scd,15,15,0,0,960,960,Secs,,Delay time for starting second compressor in dual compressor control,,,,
19,Power On Delay,Pod,120,120,0,0,300,300,Secs,,This is the delay in seconds between power-on and the output relays being activated,,,,
20,Low temp Alarm limit,LAt,-5,23,-100,-148,120,248,°F,,If cabinet air temperature goes below this value will raise low temperature alarm  (All these alarm status can be viewed only in KoolProg),,,,
21,High temp Alarm limit,HAt,15,59,-100,-148,120,248,°F,,If cabinet air temperature goes above this value will raise low temperature alarm ,,,,
22,Low temp Alarm delay,Ltd,0,0,0,0,240,240,Mins,,Time delay to raise alarm once low temperature alarm limit is reached,,,,
23,High temp Alarm delay,Htd,30,30,0,0,240,240,Mins,,Time delay to raise alarm once high temperature alarm limit is reached,,,,
24,Alarm Door open delay,dod,2,2,0,0,60,60,Mins,,"Time delay to raise alarm if the door is kept open. If the door is closed before the delay time, it will not raise alarm",,,,
25,Alarm delay during Pull Down/ Power up /defrost,Pdd,60,60,0,0,960,960,Mins,,"Time delay to raise high temperature alarm during pull down, power up and defrost in order to avoid wrong alarm signal during these conditions",,,,
26,Leakage Alarm Compressor Run Time,LEA,0,0,0,0,96,96,Hrs,,"If compressor operates continuosly for more than the time configured in this parameter Leakage alarm will be triggered. Generally this value to be set higher than pull down duration ""Pdd"". 
""0"": disable",,,,
27,Defrost type,dFt,nAt,nAt,,,,,,"0: no,1:nAt,2:EL,3:Hgd","This parameter defines the required type of defrost
""no"": defrost function is disabled.
""nAt"": Natural defrost (OFF-cycle defrost)
""EL"": electrical defrost.
""Hgd"": hot gas defrost ",,,,
28,Minimum defrost Interval,dii,360,360,1,1,4320,4320,Mins,,"Defines the minimum time period between the start of two defrost cycles. If the evaporator temperature goes below the defrost start temperature (dEt) controller triggers the defrost after this period, if not trigger the defrost at Maximum defrost interval (dAi)
",,,,
29,Maximum defrost Interval,dAi,420,420,1,1,4320,4320,Mins,,Maximum time period between the start of two defrost cycles,,,,
30,Minimum defrost time,dit,5,5,0,0,240,240,Mins,,"Defines the minimum duration of a defrost cycle. During this period, the controller will not check the temperature. Once the minimum time has expired, the temperature will be checked and if the terminate temperature ""dtt"" has been reached, the defrost cycle will end. If dtt has not been reached, defrost will continue until maximum defrost time ""dAt"" reached",,,,
31,Maximum defrost Time,dAt,30,30,0,0,480,480,Mins,,"Maximum duration of a defrost cycle. Controller will terminate the defrost after this time, even if evap sensor is configured and evaporator temperature is less than defrost terminate temperature (dtt)",,,,
