S No,Parameter Name,Code,Default Value_C,Default Value_F,Min_C,Min_F,Max_C,Max_F,Unit,Enum,Description,
1,Sensor Type,SEn, NTC10K, NTC10K,,,,,,"0:NTC5K,1:NTC10K","Sensor type (All sensors must be of same type)
NTC5K - NTC 5000 Ohm at 25 °C (Beta value=3980 @ 25/100 °C)
NTC10K - NTC 10000 Ohm at 25 °C (Beta Value 3980 @ 25/100 °C)",
2,S2 Configuration,S2C,EuA,EuA,,,,,,"0:nC,1:Con,2:EuA,3:doC,4:doo,5:ESP,6:Est,7:Pud,8:dES
","Desired configuration for S2 port
nC- Not used/configured
Con- Condenser Sensor
EuA- Defrost/evap Sensor
doC- Door Sensor (Normally closed type)
doo- Door Sensor (Normally open type)
ESP- Eco Switch - Push button type
ESt- ECO Switch - Toggle type
Pud- Pull down switch - Push Button type only
dES- Defrost switch -- Push Button type only",
4,Lowest Temperature Limit,LSE,0,32,-100,-148,120,248,°F,,Cut out temperature at coldest position of the spindle (thermostat knob),
5,Highest Temperature Limit,HSE,10,50,-100,-148,120,248,°F,,Cut out temperature at warmest position of the spindle (thermostat knob),
6,Lowest Temperature Differential,Ldi,2,3.6,1,1.8,50,90,°F,,This defines the difference between the cut-out and the cut-in at coldest position of thermostat. ,
7,Highest Temperature Differential,Hdi,2,3.6,1,1.8,50,90,°F,,This defines the difference between the cut-out and the cut-in at warmest position of thermostat. ,
8,Initial pull down  ON/OFF,IPE,OFF,OFF,,,,,,"0:OFF,1:ON","Initial Pull down 
oFF- Disable
on- Enable
Initial pull down (IPD) is to provide faster cooling when the cabinet is powered up with warmer inside temperature.  During IPD, defrost will be skipped until cabinet air temperature reaches cut out temperature or IPD duration expires. IPD operates only during power up and can be enabled/disabled using this parameter",
9,IPD and Pull down Duration,IPD,0,,0,,120,,Hrs,,Maximum time IPD and Pull down can run. IPD and Pull down will terminate as soon as this time expires regardless of cab air temperature,
10,IPD and Pull down Initiate temperature,Pit,50,122,-50,-58,120,248,°F,,"This parameter indicates the temperature at which IPD or Pulldown will be initiated. 
- At Power up: If cab air temp>Pit for more than 5 minutes trigger the Initial pull down.
- During normal operation:  if the cab air temp stays above Pit>1hr trigger the Pull down.",
11,Pull Down Limit temperature,PLt,0,32,-100,-148,120,248,°F,,This parameter sets the cut out temperature during Pull-down cycle. Controller will exit the pull down once this temperature is achieved or expiry of  pull down duration (IPD) ,
