Menu Code,Parameter Name,default Value,Min,Max,Unit,Enum,Description,,
SEn,Sensor Type, NTC10K,,,,"0:NTC5K,1:NTC10K","Sensor type (All sensors must be of same type)
NTC5K - NTC 5000 Ohm at 25 °C (Beta value=3980 @ 25/100 °C)
NTC10K - NTC 10000 Ohm at 25 °C (Beta Value 3980 @ 25/100 °C)",,
S2C,S2 Configuration,EuA,,,,"0:nC,1:Con,2:EuA,3:doC,4:doo,5:ESP,6:Est,7:Pud,8:dES
","Desired configuration for S2 port
nC- Not used/configured
Con- Condenser Sensor
EuA- Defrost/evap Sensor
doC- Door Sensor (Normally closed type)
doo- Door Sensor (Normally open type)
ESP- Eco Switch - Push button type
ESt- ECO Switch - Toggle type
Pud- Pull down switch - Push Button type only
dES- Defrost switch -- Push Button type only",,
LSE,Lowest Temperature Limit,0,-100,120,°C,,Cut out temperature at coldest position of the spindle (thermostat knob),,
HSE,Highest Temperature Limit,10,-100,120,°C,,Cut out temperature at warmest position of the spindle (thermostat knob),,
Ldi,Lowest Temperature Differential,2,1,50,°K,,This defines the difference between the cut-out and the cut-in at coldest position of thermostat. ,,
Hdi,Highest Temperature Differential,2,1,50,°K,,This defines the difference between the cut-out and the cut-in at warmest position of thermostat. ,,
IPE,Initial pull down  ON/OFF,OFF,,,,"0:OFF,1:ON","Initial Pull down 
oFF- Disable
on- Enable
Initial pull down (IPD) is to provide faster cooling when the cabinet is powered up with warmer inside temperature.  During IPD, defrost will be skipped until cabinet air temperature reaches cut out temperature or IPD duration expires. IPD operates only during power up and can be enabled/disabled using this parameter",,
IPD,IPD and Pull down Duration,0,0,120,Hrs,,Maximum time IPD and Pull down can run. IPD and Pull down will terminate as soon as this time expires regardless of cab air temperature,,
Pit,IPD and Pull down Initiate temperature,50,-50,120,°C,,"This parameter indicates the temperature at which IPD or Pulldown will be initiated. 
- At Power up: If cab air temp>Pit for more than 5 minutes trigger the Initial pull down.
- During normal operation:  if the cab air temp stays above Pit>1hr trigger the Pull down.",,
PLt,Pull Down Limit temperature,0,-100,120,°C,,This parameter sets the cut out temperature during Pull-down cycle. Controller will exit the pull down once this temperature is achieved or expiry of  pull down duration (IPD) ,,
Crt,Min Run time,0,0,1800,Secs,,"To prevent the compressor from frequent cut-outs, this parameter would ensure that the  compressor runs for atleast the specified time. This parameter overrides the cut-out temperature. [Tip: Setting this parameter too high could lead to unneccessary deep temperatures]",,
CSt,Min Stop time,120,0,1800,Secs,,"To prevent the compressor from frequent cut-ins, this parameter would ensure that the  compressor remains off for atleast the specified time under this parameter. This parameter overrides the cut-in temperatures. [Tip: Setting this parameter too high could lead to unneccessary warm temperatures]",,
Cdd,Compressor stop delay on door open,0,0,999,Secs,,"This parameter sets the delay in stoping the compressor when  door is opened. If set ""0"" compressor stops immediately.  If set  999 it will disable the function and doesnot stop the compressor",,
Srt,System Resume after door open,0,0,60,Mins,,"If door is kept open for long time, compressor and fan will resume after this time if they switched off due to door open. [Note : 'Srt' must be always greater than' Cdd' and 'Fdt'] If Srt=0, System resume feature disabled and system will resume only when the door is closed.",,
Pod,Power On Delay,120,0,300,Secs,,This is the delay in seconds between power-on and the output relays being activated.,,
LAt,Low temp alarm limit,-5,-100,120,°C,,If cabinet air temperature goes below this value will raise low temperature alarm  (All these alarm status can be viewed only in KoolProg),,
HAt,High temp alarm limit,15,-100,120,°C,,If cabinet air temperature goes above this value will raise low temperature alarm ,,
Ltd,Low temp alarm delay,0,0,240,Mins,,Time delay to raise alarm once low temperature alarm limit is reached,,
Htd,High temp alarm delay,30,0,240,Mins,,Time delay to raise alarm once high temperature alarm limit is reached,,
dod,Alarm Door open delay,2,0,60,Mins,,"Time delay to raise alarm if the door is kept open. If the door is closed before the delay time, it will not raise alarm",,
