MenuCode,Name,DefaultValue,Min,Max,Unit,Enum,Help
R012,Main switch,0,0,1,,"0:Off,1:On","Injection control ON/OFF
With this setting, refrigeration can be started and stopped. Injection control ON/OFF can also be accomplished with the external Digital input DI switch function. 



"
R102,Operation mode,0,0,1,,"0:SH control,1:Valve driver",EKE can be used as superheat controller or as a driver. Select how you want to configure the controller in the system.
O061,Application select,0,0,5,,"0:ChillerPlate,1:AirCoil frost,2:AirCoil,3:HP A2W,4:HP W2W,5:Gen. SH Ctrl.","Selection of application
The controller can be defined in various application mode. Here you set the desired application, the controller will auto tune the PI values based on selected application.
This menu can only be set when regulation is stopped, i.e. “main switch” is set to 0.



"
R100,Compressor capacity,0,0,100,%,,"Via bus communication, the compressor capacity is reported for the superheat regulation to adapt actual compressor 0-100%."
R015,Sensor select,0,0,1,,"0:S3,1:S4","Not valid for EKE 1A.
Its optional to connect a media sensor. Media sensor will be used to measure media temperature (air or water). Depending on needs it is placed on inlet or outlet of evaporator
0: S3 media inlet
1: S4 media outlet"
R014,Thermostatic mode,0,0,2,,"0:Not Used,1:CutIn/CutOut,2:MTR","Use for controlling media temperature
0 not used:  No media temperature control, only the superheat is regulated
1 Cutin/Cutout:  media temperature control based on temperature setpoint and differential as well as regulation of superheat. 
2 MTR: Modulating thermostat , active evaporator area is adjusted to match cooling demand, reference is temperature setpoint + ½ differential"
R101,Temperature setpoint,3,-70,70,°C,,This  parameter is to be used if thermostatic mode has been enabled. This is a reference value to maintain the temperature of the media to a desired temperature level.
R001,Differential,2,0.1,10,K,,When the temperature is higher than the reference plus the set differential the super control will start. It will become deactivated when the temperature drops below the set reference.
R006,Ext. ref offset max.,0,-50,50,K,,"External contribution to the reference 
This setting determines how large a contribution is to be added to the set setpoint when the input signal is max."
R106,Ext. ref offset min,0,-50,50,K,,"External contribution to the reference 
This setting determines how large a contribution is to be added to the set setpoint when the input signal is min. "
R009,S2 Correction,0,-10,10,K,,"Correction of signal from S2
(Compensation possibility through long sensor cable)."
R010,S3 Correction,0,-10,10,K,,"Correction of signal from S3
(Compensation possibility through long sensor cable)."
R105,S4 Correction,0,-10,10,K,,"Correction of signal from S4
(Compensation possibility through long sensor cable)."
R107,Pe Correction,0,-5,5,barg,,Correction of signal from Pe
R108,Pc Correction,0,-5,5,barg,,Correction of signal from Pc
N100,MTR Tn,1800,20,3600,,,"Integration time for  MTR. Use long integration time  for S3 sensor and short for S4 sensor
Expert setting for injection function
The value should only be changed by specially trained staff."
N101,MTR Kp,3,0.2,20,,,"Amplication factor for MTR
Expert setting for injection function
The value should only be changed by specially trained staff."
