MenuCode,Name,DefaultValue,Min,Max,Unit,Enum,Help
"iCi","Initial cut in","0.0","0.0","1.0","","0:No,1:yes","Initial cut in
Comp relay action when Tair is between cut-in and cut-out at power-up:
""yES"": cut in the compressor
""no"": cut out the compressor"
"Add","Adaptive defrost","0.0","0.0","1.0","","0:no,1:yES","Adaptive defrost
""no"": defrost controlled by time.
""yES"": automatic defrost control activated."
"dCt","Defrost on compressor time","0.0","0.0","1.0","","0:no,1:yES","Defrost ON Compressor Time
If this parameter is set to ""yES"", then defrost cycles are based on the total
time the compressor has been running.
If this parameter is set to no, then defrost cycles are related to elapsed
time, regardless of how long and how often the compressor has been on."
"uPt","Voltage protection","0.0","0.0","1.0","","0:no,1:yES","Voltage protection
""no"": no voltage protection.
""yES"": voltage protection activated based on voltage related settings."
"rLt","Display Range Limit","0.0","0.0","1.0","","0:no ,1:yES ","Display Range Limit
In some point of sales applications you may want to show the desired
instead of the real temperature. This parameter sets whether the
displayed temperature is the actual temperature or whether it is restricted
to the cut-in / cut-out limits. Set to ""nO"" means that the actual temperature
will de displayed. The parameter is set to ""nO"" by default."
"SSC","Show Pull Down","0.0","0.0","1.0","","0:No,1:Yes","Show Pull down state
If set to ""yES"", this parameter causes the display to show SC when the
system is in pull down mode.
If set to ""nO"", the temperature continues to be displayed."
"SHo","Show Holiday","0.0","0.0","1.0","","0:No,1:Yes","Show Holiday
""no"": display will show temperature or ECO mode during holiday mode.
""yES"": display will show ""HoL"" during holiday mode."
"SdF","Show Defrost","0.0","0.0","1.0","","0:No,1:Yes","Show Defrost
If set to ""yES"", this parameter causes the display to show DEF when the
system is in defrost mode. If set to ""nO"", the temperature continues to
be displayed."
"uAL","Voltage alarm","0.0","0.0","1.0","","0:no,1:yES","Voltage alarm
""no"": no voltage alarm.
""yES"": voltage alarm activated."
"ACA","Auto Clearance of Alarm","1.0","0.0","1.0","","0:no,1:yES ","Auto Clear of Alarm/Error/ACA
If this parameter is set to ""nO"":
The alarm status will not disappear automatically even if the condition
which caused the alarm is no longer valid or present.
If set to ""yES"":
As soon as the condition which caused the alarm is no longer valid or
present, the alarm status will automatically change back to inactive.
There will be no trace of the alarm having occurred.
In general, glass door merchandise applications will be set to ""yES"" and
commercial fridges and freezers set to ""nO"".
For example, if the temperature goes too high for a period there may
be food safety considerations in a freezer containing food but not in a
fridge with cold drinks."
"uSA","MODBUS Safety","0.0","0.0","1.0","","0:no,1:yES ","MODBUS Safety
""on"": MODBUS auto detection is enabled.
""yES"": MODBUS communication is deactivaed."
"ouS","DOs Status","2.0","0.0","2.0","","","DOs Status
Current relay open closed status."
"dFt","Def. type","0.0","0.0","1.0","","0:no:no.png,1:nAt:nAt.png","Defrost Type
""no"": defrost function is disabled.
""nat"": OFF-cycle defrost (natural defrost)."
"EHd","Sensor Error Type","0.0","0.0","1.0","","0:no:no.png,1:SEt:SEt.png","Sensor Error Type
""no"": no sensor error handling.
""SEt"": in case of control sensor error, follow error run/stop time."
"CFu","Display Unit","0.0","0.0","1.0","","0:C:C.png,1:F:F.png","This parameter sets the display to Fahrenheit or Celsius. Switching fromone to the other will cause all temperature settings to be automaticallyupdated accordingly."
"trS","Temp sensor to display","0.0","0.0","3.0","","0:Sco:Sco.png,1:EuA:EuA.png,2:Con:Con.png,3:AuS:Aus.png","Temp sensor to display
""SCo"": temperature control.
""EuA"": evaporator temperture.
""Con"": condenser temperature (condenser cleaning).
""AuS"": only for showing on display."
"rES","Display Resolution","1.0","0.0","2.0","","0:0.1,1:0.5,2:1 ","Display Resolution
This parameter can be set to 0.1, 0.5 or 1 and affects the way the
temperature is displayed. With the parameter set to 1, the display will
only ever show temperatures rounded to the nearest whole degree.
At 0.5, it will round the temperature to the nearest half degree for display.
For example, 3.3 degrees will be shown in the display as 3.5 degrees
and 3.9 as 4.0. With the parameter set to 0.1, no rounding occurs.
This parameter does not affect the temperature itself, merely the display."
"S1C","S1 Config","0.0","0.0","1.0","","0:Stn:Stn.png,1:Htn:Htn.png","S1 Config/S1C
S2 Config/S2C
S3 Config/S3C
S4 Config/S4C
Available options are:
""Stn"": for a standard temperature sensor NTC 5 K @ 25°C and TPE precision.
""Htn"": for a high temperature sensor NTC 100 K @ 25°C."
"S2C","S2 Config","0.0","0.0","1.0","","0:Stn:Stn.png,1:Htn:Htn.png","S1 Config/S1C
S2 Config/S2C
S3 Config/S3C
S4 Config/S4C
Available options are:
""Stn"": for a standard temperature sensor NTC 5 K @ 25°C and TPE precision.
""Htn"": for a high temperature sensor NTC 100 K @ 25°C."
"S1A","S1 Application","1.0","0.0","4.0","","0:nC:nC.png,1:Sco:Sco.png,2:EuA:EuA.png,3:Con:Con.png,4:AuS:Aus.png","S1 Application/S1A
S2 Application/S2A
S3 Application/S3A
S4 Application/S4A
Available options are:
""nC"": not connected.
""SCo"": temperature control.
""EuA"": evaporator temperature.
""Con"": condenser temperature (Condenser cleaning).
""AuS"": only for showing temperature on display."
"S2A","S2 Application","0.0","0.0","4.0","","0:nC:nC.png,1:Sco:Sco.png,2:EuA:EuA.png,3:Con:Con.png,4:AuS:Aus.png","S1 Application/S1A
S2 Application/S2A
S3 Application/S3A
S4 Application/S4A
Available options are:
""nC"": not connected.
""SCo"": temperature control.
""EuA"": evaporator temperature.
""Con"": condenser temperature (Condenser cleaning).
""AuS"": only for showing temperature on display."
"o1C","DO1 Config","0.0","0.0","3.0","","0:CoP:CoP.png,1:PiC:PiC.png,2:Het:Het.png,3:PiH:PiH.png","D01 Config
""CoP"": direct compressor control.
""PiC"": pilot Relay (no zero cross) – if using pilot relay to control a
compressor, this option must be used instead of ""CoP"".
""HEt"": heating application, inverse output.
""PiH"": pilot heat relay (no zero cross)."
"b1C","Button 1 Short Config","0.0","0.0","7.0","","0:noP:noP.png,1: tP:tP.png,2: tn:tn.png,3:dEF:dEF.png,4:SuP:SuP.png,5:diP:diP.png ,6:din:din.png ,7:CFA:CFA.png","""noP"": not operating
""tP"": increase set point
""tn"": decrease set point
""dEF"": toggle defrost
""SuP"": toggle super-cool/pull down
""diP"" : increase display intensity
""din"" : decrease display intensity
""CFA"": toggle °C and °F"
"b1L","Button 1 Long Config","0.0","0.0","10.0","","0:noP:noP.png,1: tP:tP.png,2: tn:tn.png,3:dEF:dEF.png,4:SuP:SuP.png,5:diP:diP.png ,6:din:din.png ,7:CFA:CFA.png,8:PoF:PoF.png,9:HoL:HoL.png,10:inF:inF.png","""noP"": not operating
""tP"": increase set point
""tn"": decrease set point
""dEF"": toggle defrost
""SuP"": toggle super-cool/pull down
""diP"": increase display intensity
""din"": decrease display intensity
""CFA"": toggle °C and °F
""PoF"": ERC power ON/OFF
""HoL"": enter holiday mode
""inF"": enter info menu"
"b2C","Button 2 Short Config","0.0","0.0","7.0","","0:noP:noP.png,1: tP:tP.png,2: tn:tn.png,3:dEF:dEF.png,4:SuP:SuP.png,5:diP:diP.png ,6:din:din.png ,7:CFA:CFA.png","""noP"": not operating
""tP"": increase set point
""tn"": decrease set point
""dEF"": toggle defrost
""SuP"": toggle super-cool/pull down
""diP"" : increase display intensity
""din"" : decrease display intensity
""CFA"": toggle °C and °F"
"b2L","Button 2 Long Config","0.0","0.0","10.0","","0:noP:noP.png,1: tP:tP.png,2: tn:tn.png,3:dEF:dEF.png,4:SuP:SuP.png,5:diP:diP.png ,6:din:din.png ,7:CFA:CFA.png,8:PoF:PoF.png,9:HoL:HoL.png,10:inF:inF.png","""noP"": not operating
""tP"": increase set point
""tn"": decrease set point
""dEF"": toggle defrost
""SuP"": toggle super-cool/pull down
""diP"": increase display intensity
""din"": decrease display intensity
""CFA"": toggle °C and °F
""PoF"": ERC power ON/OFF
""HoL"": enter holiday mode
""inF"": enter info menu"
"b3C","Button 3 Short Config","1.0","0.0","7.0","","0:noP:noP.png,1: tP:tP.png,2: tn:tn.png,3:dEF:dEF.png,4:SuP:SuP.png,5:diP:diP.png ,6:din:din.png ,7:CFA:CFA.png","""noP"": not operating
""tP"": increase set point
""tn"": decrease set point
""dEF"": toggle defrost
""SuP"": toggle super-cool/pull down
""diP"" : increase display intensity
""din"" : decrease display intensity
""CFA"": toggle °C and °F"
"b3L","Button 3 Long Config","0.0","0.0","10.0","","0:noP:noP.png,1: tP:tP.png,2: tn:tn.png,3:dEF:dEF.png,4:SuP:SuP.png,5:diP:diP.png ,6:din:din.png ,7:CFA:CFA.png,8:PoF:PoF.png,9:HoL:HoL.png,10:inF:inF.png","""noP"": not operating
""tP"": increase set point
""tn"": decrease set point
""dEF"": toggle defrost
""SuP"": toggle super-cool/pull down
""diP"": increase display intensity
""din"": decrease display intensity
""CFA"": toggle °C and °F
""PoF"": ERC power ON/OFF
""HoL"": enter holiday mode
""inF"": enter info menu"
"b4C","Button 4 Short Config","2.0","0.0","7.0","","0:noP:noP.png,1: tP:tP.png,2: tn:tn.png,3:dEF:dEF.png,4:SuP:SuP.png,5:diP:diP.png ,6:din:din.png ,7:CFA:CFA.png","""noP"": not operating
""tP"": increase set point
""tn"": decrease set point
""dEF"": toggle defrost
""SuP"": toggle super-cool/pull down
""diP"" : increase display intensity
""din"" : decrease display intensity
""CFA"": toggle °C and °F"
"b4L","Button 4 Long Config","0.0","0.0","9.0","","0:noP:noP.png,1: tP:tP.png,2: tn:tn.png,3:dEF:dEF.png,4:SuP:SuP.png,5:diP:diP.png ,6:din:din.png ,7:CFA:CFA.png,8:PoF:PoF.png,9:HoL:HoL.png","""noP"": not operating
""tP"": increase set point
""tn"": decrease set point
""dEF"": toggle defrost
""SuP"": toggle super-cool/pull down
""diP"": increase display intensity
""din"": decrease display intensity
""CFA"": toggle °C and °F
""PoF"": ERC power ON/OFF
""HoL"": enter holiday mode
""inF"": enter info menu"
"SEt","Set point","-23.0","-50.0","200.0","°C","","This parameter defines the desired temperature (set point)In standard operation the set point is changed by simply pressing the""temperature up/down"" buttons on ERC 111; for laboratory andassembly line you may opt for software controlled set point adjustment(speed improvement)"
"SPr","Set point adjustment ratio","0.0","0.0","1.0","","","The default value is set to 0.5 and the parameter is hidden by default.
""Spr"" defines the position of the set point in relation to cut-in and cut-out
""Spr=0,5"" sets the set point mid between cut-in and cut-out.
""Spr=0"" sets the set point at the cutout. ""Spr=1"" sets the set point at cut-in"
"diF","Differential","5.0","0.0","20.0","K","","This defines the difference between the cut-out and the cut-inThe desired temperature is determined by ""SPr"" and ""diF"""
"HSE","High Set point","-23.0","-50.0","200.0","°C","","Defines the temperature range limit of the controllerOnce set, the desired temperatue (set point) can not go above ""HSE"" or below ""LSE"""
"LSE","Low Set point","-24.0","-50.0","200.0","°C","","Defines the temperature range limit of the controllerOnce set, the desired temperatue (set point) can not go below ""LSE"""
"PLt","Pull-down limit temp","0.0","-50.0","55.0","°C","","Pull Down Limit Temperature
This parameter sets the minimum allowed temperature during pull-down.
In order to protect valuable contents you must always specify the absolute
minimum temperature allowed in your application.
For glass door merchandisers 0°C/32°F protects bottles from freezing;
for commercial fridges you may opt for a slightly higher temperature
(e.g. 2°C)"
"dtt","Def terminate temp","6.0","0.0","25.0","°C","","Terminate Temperature
This parameter defines at what temperature the defrost cycle will stop.
The temperature is given by the evaporator sensor or by the cabinet
temperature sensor if no evaporator sensor is used."
"dEt","Defrost start evaporator temp.","0.0","-50.0","0.0","°C","","Defrost start evaporator temp
Defrost start trigger for adaptive defrost."
"ddt","Defrost Delta T (ddt)","0.0","0.0","30.0","K","","Defrost Ät
Defrost Ät compare with evaporator temperature of first cut out after defrost
to trigger defrost start.
The defrost start if evaporator temperature has decreased"
"drt","Def reset temp","5.0","0.0","200.0","°C","","Defrost reset temperature
The defrost counter is saved and restored at power-up, but if the
temperature sensor, used for defrost, is higher than this value at
power-up, it is assumed that the evaporator is free of ice and the
defrost counter will be cleared."
"Pot","Power-on temperature","-50.0","-50.0","200.0","°C","","Power ON Temperature
This parameter is used to accelerate the first application test on the
OEM assembly line; if the cabinet temperature is higher than this
parameter the power ON Delay is overruled and the outputs are activated
without delay."
"doF","Display Offset","0.0","-10.0","10.0","K","","This parameter is a relative value and allows the temperature displayedto be different to the temperature measured.For instance, at a measured temperature of 7°C and ""doF"" set to -2K, thedisplayed temperature will be 5°C instead"
"HAt","High Temp Alarm","15.0","-100.0","200.0","°C","","High Temp Alarm
Absolute value.
By setting ""HAt"" to the maximum alarms will be deactivated."
"LAt","Low Temp Alarm","-50.0","-100.0","200.0","°C","","Low Temp Alarm
Absolute value.
By setting ""LAt"" to the minimum value, alarms will be deactivated.
In most situations, the low alarm delay will be set to 0 to warn about
too low a temperature immediately."
"Hto","Holiday Temperature Offset","6.0","-25.0","25.0","K","","Holiday Temperature Offset
Increase or decrease of temperature with respect to normal mode
during holiday mode."
"t1A","Temp Adj. for S1","7.0","-20.0","20.0","K","","This parameter(applies to the Non-Danfoss temperature sensors only) is a relative value and allows adjustment of the control
sensor temperature.
For instance, at a measured temperature of 7*C and ""tAd"" set to -2 K,
the input from the control sensor will be 5*C instead."
"t2A","Temp Adj. for S2","0.0","-20.0","20.0","K","","Air Temperature Adjustment
(applies to non-Danfoss temperature sensors only)
This parameter is a relative value and allows adjustment of the control
sensor temperature.
For instance, at a measured temperature of 7*C and ""tAd"" set to -2 K,
the input from the control sensor will be 5*C instead."
"Pcy","Pull-down Cycling","4.0","0.0","360.0","min","","Pull Down Cycling
This is the duration in minutes of the compressor cycling at the reduced
set point temperature. Once the desired pull down limit temperature
""PLt"" has been reached during pull down, the compressor will continue to
cycle ON/OFF for the duration of ""PCy"". At the end of the period defined by
""PCy"", the set point temperature will return to normal and pull down will
cease."
"Pdi","Pull-down defrost Interval","15.0","0.0","48.0","hour","","Pull Down Defrost Interval
Even though most applications do not need Defrost during pull down, an
extended defrost during pull down can be applied. This is the time
between defrost cycles during pull down. It is measured in hours and can
be up to 48 hours. During pull down, this setting overrides the defrost
interval and defrost time settings (see the defrost section)."
"Pdd","Pull-down duration","4.0","0.0","48.0","hour","","Pull Down Duration
You can choose to limit the maximum pull down time. Once this time
value (max. 48 hours) is reached, pull down will stop regardless of
whether the desired pull-down temperature has been reached."
"dii","Def Min Interval","6.0","1.0","96.0","hour","","Minimum defrost interval defines the minimum time period between the start of two defrost cycles. Once the minimum interval has expired, controller will monitor the evaporator temperature and start the defrost if evaporator temperature goes below ""dEt"" or ""ddt"" value. If not, it will start the defrost once the maximum interval ""dAi"" has been reached. In case of time based defrost it always trigger the defrost at Maximum interval ""dAi""."
"dAt","Def Max time","0.0","0.0","480.0","min","","Maximum Time
Defines the maximum duration of a defrost cycle.
The controller will not allow a maximum time to be entered which is
less than the minimum time, or a minimum time which is more than the
maximum time."
"dAi","Def Max Interval","7.0","1.0","96.0","hour","","Maximum Interval
Defines the maximum time period between the start of two defrost cycles."
"dit","Def Min Time","1.0","0.0","240.0","min","","Minimum Time
Defines the minimum duration of a defrost cycle. During this period, the
controller will not check the temperature. Once the minimum time has
expired, the temperature will be checked and if the terminate temperature
""dtt"" has been reached, the defrost cycle will end. If dtt has not been
reached, defrost will continue until either dtt is reached or the
maximum time ""dAt"" reached, whichever occurs first."
"doC","Defrost by Comp. running time","0.0","0.0","24.0","hour","","Defrost by Comp. running time
Continuous compressor running can cause defrost.
""0"" = deactived"
"idi","Initial Defrost Interval","0.0","0.0","96.0","hour","","Initial Defrost Interval
The initial defrost interval determines the time for first defrost after
power-up. The initial defrost is mainly intended for factory testing of the
defrost functionality and can be set to expire after a number compressor
cycles according to the setting of parameter idd. During normal operation,
the defrost counter will be saved in memory and restored after power loss,
making the initial defrost unnecessary."
"idd","Initial Defrost Duration","0.0","0.0","999.0","cycle","","Initial Defrost Duration
The initial defrost duration is the number of compressor cycles before
the initial defrost is deactivated.
""0"": ""idi"" No initial defrost.
""1-998"": number of compressor cycles before deactivation.
""999"": initial defrost always active."
"uLi","Minimum Cutin voltage","0.0","0.0","270.0","Vac","","""uLi"": when the compressor is due to start, the voltage of the power
supply will be checked and the compressor will only be allowed to
start if it is at least the value given in this parameter."
"uLo","Minimum cut-out voltage","0.0","0.0","270.0","Vac","","""uLo"": when the compressor is running, it will be switched
OFF if the voltage goes below that given in this
parameter."
"uHi","Maximum voltage","270.0","0.0","270.0","Vac","","""uHi"": when the compressor is running, it will be switched
OFF if the voltage exceeds that given in this parameter.
If the compressor is already stopped, it will remain
switched OFF."
"Ert","Error run time","12.0","0.0","60.0","min","","The parameter only become active in the unlikely event of a broken
temperature sensor. It is used to run the application in safety mode.
At the same time the sensor error will be shown in the display.
""Ert"" define the duration the compressor will run.
Example: ""Ert=4"" [min] and ""ESt=16"" [min] will provide an average cooling
system activity of 20%. Ert and ""ESt"" values are based on OEM experience
and are by default inactive."
"ESt","Error stop time","5.0","0.0","60.0","min","","The parameter only become active in the unlikely event of a broken
temperature sensor. It is used to run the application in safety mode.
At the same time the sensor error will be shown in the display.
""ESt"" define the duration the compressor will be ""idle""."
"CSt","Min Stop time","5.0","0.0","30.0","min","","Minimum Stop Time
It determines the minimum number of minutes the compressor must
remain idle before a Temperature cut-in can take effect. For example,
if the temperature sensor indicates that the cut-in temperature has been
reached, but the number of minutes set in this parameter have not elapsed
since the compressor last stopped, then the compressor will stay OFF.
It will only start once the duration given by ""CSt"" has been reached
provided the temperature is still high enough. ""CSt"" thus overrides the cut-in."
"Crt","Min run time","0.0","0.0","30.0","min","","It determines the minimum number of minutes the compressor must run
before a Temperature cut-out can take effect. For example, if the
temperature sensor indicated that the cut-out temperature has been
reached, but the number of minutes set in this parameter have not
elapsed since the compressor last started, then the compressor will
continue. It will only stop once the duration given by ""Crt"" has been
reached – provided the temperature is still low enough.
""Crt"" thus overrides the cut-out."
"Cot","Max Off time","0.0","0.0","480.0","min","","Maximum OFF Time
This is the maximum time in minutes the compressor is allowed to
""idle"" – up to 480 minutes. Cot is set to zero by default (inactive).
If the controller is used on a draft beer (ice bank) application, this
parameter can be used to control the ice thickness."
"Pod","Power On Delay","0.0","0.0","300.0","Sec","","Delay time from power on until the outpus are activated"
"CAL","Condenser Alarm Limit","80.0","0.0","200.0","°C","","Condenser Alarm Limit/CAL
This parameter sets the temperature for the condenser at which an alarm
will be generated.Note: Use only whole number."
"CbL","Condenser Block Limit","85.0","0.0","200.0","°C","","Condenser Block Limit/CbL
This parameter sets the temperature which if reached will cause the
compressor to switch OFF.Note: Use only whole number."
"CoL","Condenser OK limit","60.0","0.0","200.0","°C","","Condenser OK Limit/CoL
This parameter sets the temperature at which the compressor is
allowed to start again after the temperature set in ""CbL"" above has been
exceeded and the compressor stopped.Note: Use only whole number."
"CLL","Condenser Low Temp. Limit","-5.0","-50.0","20.0","°C","","Condenser Low Limit/CLL
This parameter sets the lowest (condenser) temperature at which the
compressor is allowed to start.Note: Use only whole number."
"din","Display Intensity","10.0","2.0","10.0","","","Display Intensity
The controller can have its display intensity (brightness) set in one of
two ways:
A) With a Danfoss ambient light sensor attached, the brightness of the
display is adjusted automatically according to the ambient light level
(see the assignments section).
B) When no ambient light sensor is attached, the display intensity can
be set to a fixed intensity.
Both options are on a scale of 1 to 10, where 10 is the brightest."
"ddL","Display Delay","0.0","0.0","10.0","min","","Display Delay
In order to provide a realistic temperature appearance for an application,
a display delay can be set.
The parameter sets the time constant ô (tau) of the moving average filter
for the display.
Physically, one time constant represents the time it takes the system’s
step-response to reach 66% of its final value and five time-constants
the time it takes to reach 99% of its final value."
"dLt","Lock-time After defrost","15.0","0.0","60.0","min","","Lock Time After Defrost
In order not to show a rising temperature during defrosting, the displayed
temperature is locked at the temperature shown at the start of the defrost
cycle for the number of minutes set in this parameter.
""0"": no lock."
"Htd","High Alarm delay","50.0","0.0","240.0","min","","Alarm delay on high temperature alarm
The number of minutes to wait before sounding an alarm once the
high temperature alarm temperature is reached."
"Ltd","Low Alarm delay","0.0","0.0","240.0","min","","Alarm delay on low temperature alarm
The number of minutes to wait before sounding an alarm once the
low temperature alarm temperature is reached."
"Pdd","Pulldown delay","240.0","0.0","960.0","min","","Pull down delay
Normally, it is not necessary or desirable to sound an alarm during a pull
down (the initial phase of reaching the desired temperature). This
parameter prevents the high temperature alarm ""HAt"" sounding during pull down
and after a defrost for the number of minutes set for the parameter.
NOTE: it does not apply to the low temperature alarm ""LAt""."
"LEA","Leakage alarm","0.0","0.0","96.0","hour","","Leakage alarm
Leakage detection for compressor protection.
""0"": disable"
"Abd","Alarm Buzzer Duration","999.0","0.0","999.0","min","","Alarm Buzzer Duration
The alarm sounds for 10 seconds, followed by silence for 50 seconds.
One alarm sequence therefore lasts 60 seconds. These values cannot be
changed. This parameter determines how long in minutes an audible
alarm will continue while there is still a reason to have an alarm.
If set to 999, the alarm will continue to sound until the reason for the
alarm is cleared – for example the temperature has dropped enough or
the door closed. In some cases, it may be necessary for a user or technician
to take action in order to clear the alarm. If set to 0, the alarm will never
sound."
"tto","Time to pull down","0.0","0.0","168.0","hour","","Time to pull down
Time which ERC stay in holiday mode to decide to enter pull
down or serving mode."
"PS1","Pass-word level1","0.0","0.0","999.0","","","Password level 1 / PS1
Password Level 2 / PS2
Password Level 3 / PS3
These assign passwords to the three levels of access. The password is a
three-digit number. Access levels are Shop, Service and OEM.
You may not therefore have access to change all the passwords.
Passwords are entered by using the up and down arrow buttons.
Danfoss advises against using passwords which are easy to remember
or enter, for example 111, 222, 123 etc.
NOTE: When accessing the controller with 3 wrong password in a sequence
ERC will automatically block access for 15 minutes."
"PS2","Pass-word level2","0.0","0.0","999.0","","","Password level 1 / PS1
Password Level 2 / PS2
Password Level 3 / PS3
These assign passwords to the three levels of access. The password is a
three-digit number. Access levels are Shop, Service and OEM.
You may not therefore have access to change all the passwords.
Passwords are entered by using the up and down arrow buttons.
Danfoss advises against using passwords which are easy to remember
or enter, for example 111, 222, 123 etc.
NOTE: When accessing the controller with 3 wrong password in a sequence
ERC will automatically block access for 15 minutes."
