Name,Enum
"Initial cut in","0:No,1:yes"
"Adaptive defrost","0:no,1:yES"
"Defrost on compressor time","0:no,1:yES"
"Voltage protection","0:no,1:yES"
"Display Range Limit","0:no ,1:yES "
"Show Pull Down","0:No,1:Yes"
"Show Holiday","0:No,1:Yes"
"Show Defrost","0:No,1:Yes"
"Voltage alarm","0:no,1:yES"
"Auto Clearance of Alarm","0:no,1:yES "
"MODBUS Safety","0:no,1:yES "
"DOs Status",""
"Def. type","0:no:no.png,1:nAt:nAt.png"
"Sensor Error Type","0:no:no.png,1:SEt:SEt.png"
"Display Unit","0:C:C.png,1:F:F.png"
"Temp sensor to display","0:Sco:Sco.png,1:EuA:EuA.png,2:Con:Con.png,3:AuS:Aus.png"
"Display Resolution","0:0.1:0.1.png ,1:0.5:0.5.png ,2:1:1.png "
"S1 Config","0:Stn:Stn.png,1:Htn:Htn.png"
"S2 Config","0:Stn:Stn.png,1:Htn:Htn.png"
"S1 Application","0:nC:nC.png,1:Sco:Sco.png,2:EuA:EuA.png,3:Con:Con.png,4:AuS:Aus.png"
"S2 Application","0:nC:nC.png,1:Sco:Sco.png,2:EuA:EuA.png,3:Con:Con.png,4:AuS:Aus.png"
"DO1 Config","0:CoP:CoP.png,1:PiC:PiC.png,2:Het:Het.png,3:PiH:PiH.png"
"Button 1 Short Config","0:noP:noP.png,1: tP:tP.png,2: tn:tn.png,3:dEF:dEF.png,4:SuP:SuP.png,5:diP:diP.png ,6:din:din.png ,7:CFA:CFA.png"
"Button 1 Long Config","0:noP:noP.png,1: tP:tP.png,2: tn:tn.png,3:dEF:dEF.png,4:SuP:SuP.png,5:diP:diP.png ,6:din:din.png ,7:CFA:CFA.png,8:PoF:PoF.png,9:HoL:HoL.png,10:inF:inF.png"
"Button 2 Short Config","0:noP:noP.png,1: tP:tP.png,2: tn:tn.png,3:dEF:dEF.png,4:SuP:SuP.png,5:diP:diP.png ,6:din:din.png ,7:CFA:CFA.png"
"Button 2 Long Config","0:noP:noP.png,1: tP:tP.png,2: tn:tn.png,3:dEF:dEF.png,4:SuP:SuP.png,5:diP:diP.png ,6:din:din.png ,7:CFA:CFA.png,8:PoF:PoF.png,9:HoL:HoL.png,10:inF:inF.png"
"Button 3 Short Config","0:noP:noP.png,1: tP:tP.png,2: tn:tn.png,3:dEF:dEF.png,4:SuP:SuP.png,5:diP:diP.png ,6:din:din.png ,7:CFA:CFA.png"
"Button 3 Long Config","0:noP:noP.png,1: tP:tP.png,2: tn:tn.png,3:dEF:dEF.png,4:SuP:SuP.png,5:diP:diP.png ,6:din:din.png ,7:CFA:CFA.png,8:PoF:PoF.png,9:HoL:HoL.png,10:inF:inF.png"
"Button 4 Short Config","0:noP:noP.png,1: tP:tP.png,2: tn:tn.png,3:dEF:dEF.png,4:SuP:SuP.png,5:diP:diP.png ,6:din:din.png ,7:CFA:CFA.png"
"Button 4 Long Config","0:noP:noP.png,1: tP:tP.png,2: tn:tn.png,3:dEF:dEF.png,4:SuP:SuP.png,5:diP:diP.png ,6:din:din.png ,7:CFA:CFA.png,8:PoF:PoF.png,9:HoL:HoL.png"
"Set point",""
"Set point adjustment ratio",""
"Differential",""
"High Set point",""
"Low Set point",""
"Pull-down limit temp",""
"Def terminate temp",""
"Defrost start evaporator temp.",""
"Defrost Delta T (ddt)",""
"Def reset temp",""
"Power-on temperature",""
"Display Offset",""
"High Temp Alarm",""
"Low Temp Alarm",""
"Holiday Temperature Offset",""
"Temp Adj. for S1",""
"Temp Adj. for S2",""
"Pull-down Cycling",""
"Pull-down defrost Interval",""
"Pull-down duration",""
"Def Min Interval",""
"Def Max time",""
"Def Max Interval",""
"Def Min Time",""
"Defrost by Comp. running time",""
"Initial Defrost Interval",""
"Initial Defrost Duration",""
"Minimum Cutin voltage",""
"Minimum cut-out voltage",""
"Maximum voltage",""
"Error run time",""
"Error stop time",""
"Min Stop time",""
"Min run time",""
"Max Off time",""
"Power On Delay",""
"Condenser Alarm Limit",""
"Condenser Block Limit",""
"Condenser OK limit",""
"Condenser Low Temp. Limit",""
"Display Intensity",""
"Display Delay",""
"Lock-time After defrost",""
"High Alarm delay",""
"Low Alarm delay",""
"Pulldown delay",""
"Leakage alarm",""
"Alarm Buzzer Duration",""
"Time to pull down",""
"Pass-word level1",""
"Pass-word level2",""
"Pass-word level3",""
"Accumulated Compressor run time",""
"Accumulated ERC run time",""
"Voltage value",""
"DO1 Counter",""
"Interval Counter",""
"Defrost Time Counter",""
"Serial Number",""
"Firmware Version",""
"Hardware Version",""
"Order No Low",""
"OEM Code Low",""
"OEM Code middle",""
"OEM Code High",""
"Parameter Version",""
