Menu Code,Parameter Name,TRUE Default,Min,Max,Unit,Enum,,,Access Settings,,,PNU 
Set,SetPoint,2.2,-100,200,Deg C,,,,RW,RW,RW,100
SPr,Set Point Adjustment Ratio,0.5,0,1,NA,,,,NV,RO,RW,180
diF,Differential,3.3,0,20,K,,,,NV,RO,RW,101
HSE,High Set Point,5,-100,200,°C,,,,NV,RO,RW,102
LSE,Low Set Point,0.6,-100,200,°C,,,,NV,RO,RW,103
iCi,Initial Cut In,No,No,Yes,Enum,"0:No,1:Yes",,,NV,RO,RW,547
SE2 ,Setpoint - Mode II ,2.2,-100,200,°C,,,,RW,RW,RW,106
dI2,Differential - Mode II,3.3,0,20,K,,,,NV,RO,RW,107
HS2,High Set Point - Mode II,5,-100,200,°C,,,,NV,RO,RW,108
LS2,Low Set Point - Mode II,0.6,-100,200,°C,,,,NV,RO,RW,109
duA,Operating Mode,du1 ( Mode 1),du1 ( Mode 1),du2 ( Mode 2),Enum,"0:du1 ( Mode 1),1:du2 ( Mode 2)",,,NV,RO,RW,181
FCt,Fan Control Method,Set,Fao,Aut,Enum,"0: Fao,1:Set,2:Aut",,,NV,RO,RW,1520
Fod,Fan ON Delay ,0,0,240,Sec,,,,NV,RO,RW,1503
FSd,Fan Stop Delay,0,0,240,Sec,,,,NV,RO,RW,1500
FoC,Fan ON Cycle ,60,0,960,Sec,,,,NV,RO,RW,1521
FSC,Fan Stop Cycle,300,0,960,Sec,,,,NV,RO,RW,1522
FSt,Fan Minimum Stop Time,5,0,960,Sec,,,,NV,RO,RW,1524
FdC,Delta T for Fan cut in ,0,-10,10,K,,,,NV,RO,RW,1525
Fdt,Fan Stop Time ON Door Open ,999,0,999,Sec,,,,NV,RO,RW,1523
FLt,Fan Limit Temperature,50,0,50,°C,,,,RW,RW,RW,1526
FdF,Fan Limit Delta Temperature,2,1,10,K,,,,RW,RW,RW,1527
