Menu Code,Parameter Name (ERC113D-True Mfg),TRUE Default,Min,Max,Unit,Enum,Access Settings,,,PNU 
SEt,SetPoint,2.2,-100,200,Deg C,,RW,RW,RW,100
SPr,Set Point Adjustment Ratio,0.5,0,1,NA,,NV,NV,RW,180
diF,Differential,3.3,0,20,K,,NV,NV,RW,101
HSE,High Set Point,5,-100,200,°C,,NV,RW,RW,102
LSE,Low Set Point,0.6,-100,200,°C,,NV,RW,RW,103
iCi,Initial Cut In,0,0,1,Enum,"0:No,1:Yes",NV,NV,NV,547
SSA,Spindle Stop Angle,30,0,80,Degree,,NV,NV,NV,115
SE2 ,Setpoint - Mode II ,12.8,-100,200,°C,,RW,RW,RW,106
dI2,Differential - Mode II,3.3,0,20,K,,NV,NV,RW,107
HS2,High Set Point - Mode II,19.4,-100,200,°C,,NV,RW,RW,108
LS2,Low Set Point - Mode II,6.1,-100,200,°C,,NV,RW,RW,109
duA,Operating Mode,0,0,1,Enum,"0:du1 ( Mode 1),1:du2 ( Mode 2)",NV,RW,RW,181
FCt,Fan Control Method,1,0,2,Enum,"0: Fao,1:Set,2:Aut",NV,RW,RW,1520
Fod,Fan ON Delay ,0,0,240,Sec,,NV,NV,RW,1503
FSd,Fan Stop Delay,0,0,240,Sec,,NV,NV,RW,1500
FoC,Fan ON Cycle ,60,0,960,Sec,,NV,NV,RW,1521
FSC,Fan Stop Cycle,300,0,960,Sec,,NV,NV,RW,1522
FSt,Fan Minimum Stop Time,5,0,960,Sec,,NV,NV,NV,1524
FdC,Delta T for Fan cut in ,0,-10,10,K,,NV,NV,NV,1525
Fdt,Fan Stop Time ON Door Open ,999,0,999,Sec,,NV,RW,RW,1523
FLt,Fan Limit Temperature,50,0,50,°C,,NV,NV,NV,1526
FdF,Fan Limit Delta Temperature,2,1,10,K,,NV,NV,NV,1527
FC2,Fan control Method - Mode II,0,0,2,Enum,"0: Fao,1:Set,2:Aut",NV,RW,RW,1528
F02,Fan on cycle - Mode II,60,0,960,Sec,,NV,NV,RW,1529
FS2,Fan stop cycle - Mode II,300,0,960,Sec,,NV,NV,RW,1530
CLC,Cabinet Light Control ,1,0,2,Enum,"0:on,1:oFF,2:dor",NV,RW,RW,2324
Lod,Light Off Delay,0,0,300,Sec,,NV,NV,NV,2325
Pit,Pull Down Initiate Temperature (Pit),15.6,-40,50,°C,,NV,NV,NV,600
PCy,Pull Down Cycling (PCy),0,0,360,min,,NV,NV,NV,602
Pdi,Pull Down Defrost Interval (Pdi),11,0,48,hr,,NV,NV,NV,603
Pdd,Pull Down Duration (Pdd),11,0,48,hr,,NV,NV,NV,604
Prt,Pull Down Reduction Temperature ∆t (Prt),0,0,10,K,,NV,NV,NV,605
dFt,Defrost Type,1,0,3,Enum,"0:no,1:nat:,2:EL,3:Hgd                                                                                                                                                                                   ",NV,NV,RW,1000
Add,Adaptive Defrost ,1,0,1,Enum,"0:no,1:yES",NV,NV,NV,1037
dtt,Defrost Terminate Temperature,4.4,0,25,Deg C,,NV,RW,RW,1001
drt,Defrost Reset Temperature ,5.6,0,200,Deg C,,NV,RW,RW,1004
dii,Minimum Interval ,45,1,999,Minutes,,NV,RW,RW,1030
dAi,Maximum Interval,4,1,96,Hrs,,NV,RW,RW,1031
dit,Minimum Time,4,0,240,min,,NV,NV,RW,1032
dAt,Maximum Time ,60,0,480,min,,NV,RW,RW,1003
dot,Drip Off Time,2,0,60,min,,NV,NV,RW,1005
Fdd,Fan Delay After Defrost ,60,0,600,Sec,,NV,NV,RW,1006
Ftd,Fan Start Temperature ,-5,-25,25,Deg C,,NV,NV,RW,1007
dFA,Defrost Fan On ,1,0,1,Enum,"0:no,1:yES",NV,NV,RW,1008
dCt,Defrost On Compressor Time ,1,0,1,Enum,"0:no,1:yES",NV,NV,NV,1033
doC,Defrost by compressor running time,120,0,999,min,,NV,NV,RW,1034
dEt,Defrost Start Evaporator temperature ,-11.1,-50,0,Deg C,,NV,NV,RW,1035
ddt,Defrost Delta T ,30,0,30,K,,NV,NV,NV,1036
idi,Initial Defrost Interval ,0,0,96,Hrs,,NV,NV,NV,1002
idd,Initial Defrost Duration ,0,0,999,cycles,,NV,NV,NV,1009
don,Door heater ON percentage -Mode 1,40,0,100,Percent,,NV,RW,RW,2060
HCt,Door heater cycle time,10,0,240,Minutes,,NV,NV,NV,2062
dHt,Door heater start temperature ,10,-50,50,Deg C,,NV,NV,NV,2063
dSd,Defrost Start Delay,30,0,120,Minutes,,NV,NV,RW,2071
dF2,Defrost type - Mode II,1,0,3,Enum,"0:no,1:nat,2:EL,3:Hgd",NV,NV,RW,2064
dE2,Defrost start temp - Mode II,-11.1,-50,0,Deg C,,NV,NV,RW,2065
dt2,Defrost terminate  temp- Mode II,4.4,0,25,Deg C,,NV,RW,RW,2066
Fd2,Defrost Fan On- Mode II ,1,0,1,Enum,"0:no,1:yES",NV,NV,RW,2072
