GroupCode,MenuCode,Name
"tHE","SEt","Set point"
"tHE","SPr","Set point adjustment ratio"
"tHE","diF","Differential"
"tHE","HSE","High Set point"
"tHE","LSE","Low Set point"
"tHE","iCi","Initial cut in"
"tHE","SSA","Spindle stop angle"
"FAn","FCt","Fan control method"
"FAn","Fod","Fan On Delay"
"FAn","FSd","Fan Stop delay"
"FAn","FoC","Fan On Cycle"
"FAn","FSC","Fan Stop Cycle"
"FAn","FSt","Fan Minimum Stop time"
"FAn","FdC","Delta T for fan to cut in"
"FAn","Fdt","Fan delay on door open"
"Lig","CLC","Cabinet Light Control Source"
"Lig","Lod","Light off delay"
"Pud","Pit","Pull-down Initiate Temperature"
"Pud","PCy","Pull-down Cycling"
"Pud","Pdi","Pull-down defrost Interval"
"Pud","Pdd","Pull-down duration"
"Pud","PLt","Pull-down limit temp"
"Pud","Prt","Pull-down reduction temp Delta T"
"dEF","dFt","Def. type"
"dEF","Add","Adaptive defrost"
"dEF","dtt","Def terminate temp"
"dEF","drt","Def reset temp"
"dEF","dii","Def Min Interval"
"dEF","dAi","Def Max Interval"
"dEF","dit","Def Min Time"
"dEF","dAt","Def Max time"
"dEF","dot","Drip off time"
"dEF","dCt","Defrost on compressor time"
"dEF","doC","Defrost by Comp. running time"
"dEF","dEt","Defrost start evaporator temp."
"dEF","ddt","Defrost Delta T"
"dEF","idi","Initial Defrost Interval"
"dEF","idd","Initial Defrost Duration"
"CoP","uPt","Voltage protection"
"CoP","uLi","Minimum Cutin voltage"
"CoP","uLo","Minimum cut-out voltage"
"CoP","uHi","Maximum voltage"
"CoP","EHd","Sensor Error Type"
"CoP","Ert","Error run time"
"CoP","ESt","Error stop time"
"CoP","CSt","Min Stop time"
"CoP","Crt","Min run time"
"CoP","Cot","Max Off time"
"CoP","PF1","Relay 1Power Factor"
"CoP","PF2","Relay2 Power Factor"
"CoP","PF3","Relay3 Power Factor"
"CoP","PF4","Relay4 Power Factor"
"CoP","Cdd","Compressor door open delay"
"CoP","Srt","System resume after door open"
"CoP","Pod","Power On Delay"
"CoP","Pot","Power-on temperature"
"Con","CAL","Condenser Alarm Limit"
"Con","CbL","Condenser Block Limit"
"Con","CoL","Condenser OK limit"
"Con","CLL","Condenser Low Temp. Limit"
"diS","dCi","Display Intensity Automatic Control (diC)"
"diS","din","Display Intensity"
"diS","CFu","Display Unit"
"diS","trS","Temp sensor to display"
"diS","rES","Display Resolution"
"diS","rLt","Display Range Limit"
"diS","ddL","Display Delay"
"diS","doF","Display Offset"
"diS","dLt","Lock-time After defrost"
"diS","SEC","Show Economy/Night Mode"
"diS","SSC","Show Pull Down"
"diS","SHo","Show Holiday"
"diS","SdF","Show Defrost"
"ALA","HAt","High Temp Alarm"
"ALA","LAt","Low Temp Alarm"
"ALA","Htd","High Alarm delay"
"ALA","Ltd","Low Alarm delay"
"ALA","PAd","Pulldown delay"
"ALA","dod","Door Open delay"
"ALA","uAL","Voltage alarm"
"ALA","LEA","Leakage alarm"
"ALA","Abd","Alarm Buzzer Duration"
"ALA","ACA","Auto Clearance of Alarm"
"AHC","AuH","Automatic heater mode enable"
"AHC","End","Energy mode delay"
"AHC","AHS","Auto Heat set point"
"AHC","AHd","Auto heat differential"
"ECS","ECo","ECO on/off"
"ECS","EdA","Door Actions"
"ECS","EPA","Pir Actions"
"ECS","ECt","Action counter time"
"ECS","Edd","Door delay "
"ECS","EPd","Pir delay"
"ECS","SLd","Shop Light Day"
"ECS","SLn","Shop Light Night"
"ECS","tto","Time to pull down"
"ECS","LSd","Light Source delay on ECO "
"ECS","Euu","EWU active on/off"
"ECS","CLH","Shop close hour"
"ECS","ErL","Early wake up time offset"
"ECS","HoL","Holiday Length"
"ECA","Eto","ECO Temperature Offset"
"ECA","Hto","Holiday Temperature Offset"
"ECA","diE","ECO Differential"
"ECA","FoE","ECO Fan on cycle"
"ECA","FSE","ECO Fan stop cycle"
"ECA","ELC","ECO Cabinet light control"
"ECA","ELd","Eco Light delay"
"ASi","uSA","MODBUS Safety"
"ASi","t1A","Temp Adj. for S1"
"ASi","t2A","Temp Adj. for S2"
"ASi","t3A","Temp Adj. for S3"
"ASi","t4A","Temp Adj. for S4"
"ASi","t5A","Temp Adj. for S5"
"ASi","t6A","Temp Adj. for S6"
"ASi","S1C","S1 Config"
"ASi","S2C","S2 Config"
"ASi","S3C","S3 Config"
"ASi","S4C","S4 Config"
"ASi","S5C","S5 Config"
"ASi","S6C","S6 Config"
"ASi","S1A","S1 Application"
"ASi","S2A","S2 Application"
"ASi","S3A","S3 Application"
"ASi","S4A","S4 Application"
"ASi","S5A","S5 Application"
"ASi","S6A","S6 Application"
