MenuCode,Name,Defaultvalue,App1DefaultValue,App2DefaultValue,App3DefaultValue,App4DefaultValue,App5DefaultValue,App6DefaultValue,Min,Max,Unit,Enum,Help
A03,Alarm delay - Normal conditions,30,45,30,30,30,30,30,0,240,min,,"If the upper or the lower alarm limit values are exceeded, a timer function will commence.  The alarm will not become active until the set time delay has been passed."
A12,Alarm delay - pulldown/startup/def,60,90,60,60,60,60,60,0,240,min,,"This time delay is used during start-up, during defrost, during pull-down. There will be change-over to the normal alarm time delay “A03” when the temperature falls within the alarm limits"
A13,High temp alarm,8,10,8,-15,8,-15,8,-100,200,°C,,"If the cabinet temperature stays above this limit for the time mentioned by the alarm delay, high temperature alarm is raised."
A14,Low temp alarm,-30,0,-2,30,-2,-30,-30,-100,200,°C,,"If the cabinet temperature stays below this limit for the time mentioned by the alarm delay, low temperature alarm is raised."
A27,DI1 delay,30,30,30,30,30,30,30,0,240,min,,"If “DI1” is configured as a door open alarm or as an external alarm, this delay is used to raise the respective alarm."
A28,DI2 delay,30,30,30,30,30,30,30,0,240,min,,"If “DI2” is configured as a door open alarm or as an external alarm, this delay is used to raise the respective alarm."
A37,Condenser High temp alarm,80,80,80,80,80,80,80,0,200,°C,,"If the condenser temperature reaches above this limit, condenser alarm is raised immediately and no action is
taken. The alarm is zeroset if temperature falls 5 K below the set temperature.
 Note: Use only whole number."
A54,Condenser High block limit,85,85,85,85,85,85,85,0,200,°C,,"If the condenser temperature continues to increase above the “A37” limit and reaches this temperature limit, condenser block alarm is raised and compressor is stopped. It is restricted to starting again until alarm is reset manually. Manual reset of condenser block alarm can be performed in two ways:
- Power controller OFF and power ON controller again.
- Switch controller OFF and ON again via main switch or front button.
Note: Use only whole number."
A72,Voltage protection,0,0,0,0,0,0,0,0,1,,"0:No,1:Yes","This parameter is to enable and disable the voltage protection feature, which protects compressor from adverse line voltage conditions."
A73,Min cut-in voltage,0,0,0,0,0,0,0,0,270,V,,"When the compressor is due to start, the voltage of the power supply will be checked and the compressor will only be allowed to start if it is at least the value given in this parameter."
A74,Min cut-out voltage,0,0,0,0,0,0,0,0,270,V,,"When the compressor is running, it will be switched OFF if the voltage goes below that given in this parameter."
A75,Max voltage,270,270,270,270,270,270,270,0,270,V,,"When the compressor is running, it will be switched OFF if the voltage exceeds that given in this parameter.
If the compressor is already stopped, it will remain switched OFF."
C01,Compressor min ON time,0,0,0,0,0,0,0,0,30,min,,This parameter determines the minimum number of minutes the compressor must run before a cut-out can take effect based on temperature. This is to avoid sudden switching ON and OFF of the compressor.
