MenuCode,Name,DefaultValue,Min,Max,Unit,Enum,Help
TID,ID low part,1,0,65535, ,,
TID,ID high part,2,0,65535, ,,
TID,Serial Number,131072,0,10000000, ,,
TYN,Type Number 091X,33302,0,65535, ,,
TYN,Type Number 077F,33302,0,65535, ,,
TYN,TypeNumber,33302,0,65535, ,,
SWV,Software version,1.09,0,999, ,,
HWV,Hardware version,0,0,65535, ,,
PAV,Parameter version,1,0,65535, ,,
AID,Application ID,1,0,65535, ,"1:STANDARD,2:WINECOOLER,3:DOUBLEDOOR,4:COND101,5:GDM101,6:DUALBAND102,7:DUALDEFROST,13:DFNOFROST100,14:VFGDM100,15:MEDICINECOOLER,16:CondMKS100,17:KIR_NOFROST100",
RCC,Refrigerator Cold Cut-out,0,-50,70,°C,,"Desired cut-out temperature in coldest position/ set-point
"
RWC,Refrigerator Warm Cut-out,10,-50,70,°C,,"Desired cut-out temperature in warmest position/ set-point
"
RUS,Refrigerator User Setpoint,50,0,100,%,,"In case of knob (potentiometer) failure, this setting would bring the temperature set-point to a particular desired position, between the warmest and coldest set-points, which could be set as the percentage between warmest (0%) and coldest(100%) positions/ set-points
"
RCD,Refrigerator Cold Differential,1,-1,50,K,,"If set, the display will show the temperature in Fahrenheit."
RWD,Refrigerator Warm Differential,1,-1,50,K,,"Difference in the cut-in and cut-out temperartures at the warmest position (set-point)
"
FSC,Fan stops on compressor cutout,42,0,1,,"1:Enable,0:Disable","If this pamater is enabled , the Fan will stop when the compressor stops."
RMR,Refrigerator Min Runtime,300,0,1800,Sec,,"To prevent the compressor from frequent cut-outs, this parameter would ensure that the  compressor runs for atleast the specified time. This parameter overrides the cut-out temperature."
RMS,Refrigerator Min Stoptime,300,0,1800,Sec,,
SCT,Super Cool Time,120,0,1440,Min,,"Tip: Setting this parameter too high could lead to unneccessary deep temperatures."""
RER,Refrigerator Error Runtime,600,0,3600,Sec,,"
""To prevent the compressor from frequent cut-ins, this parameter would ensure that the  compressor remains in idle state for atleast the specified time. This parameter overrides the cut-in temperatures.

Tip: Setting this parameter too high could lead to unneccessary warm temperatures."
RES,Refrigerator Error Stoptime,900,0,3600,Sec,,"
To avoid long idle state of compressor, this parameter would set maximum stop time allowed, after which the compressor would start irrespective of cut-in temperature. "
RUA,Refrigerator Overtemp Alarm,42,0,1,,"1:Enable,0:Disable","
This parameter only becomes active in the unlikely event of temperature sensor failure, the compressor would run for specified fixed run time, to maintain safe temprature of the application. "
ROA,Refrigerator Undertemp Alarm,42,0,1,,"1:Enable,0:Disable","
This parameter only becomes active in the unlikely event of temperature sensor failure, the compressor would stop for specified fixed stop time, to maintain safe temprature of the application."
RCO,Refrigerator Cold Overtemp Alarm,25,-50,70,°C,,"
""
""
Warmest temperature allowed at the coldest set-point after which an alarm would be raised."
RWO,Refrigerator Warm Overtemp Alarm,25,-50,70,°C,,"
Warmest temperature allowed at the warmest set-point after which an alarm would be raised."
