MenuCode,Name,DefaultValue,Min,Max,Unit,Enum,Help
TID,ID low part,1,0,65535, ,,
TID,ID high part,2,0,65535, ,,
TID,Serial Number,131072,0,10000000, ,,
TYN,Type Number 091X,33302,0,65535, ,,
TYN,Type Number 077F,33302,0,65535, ,,
TYN,TypeNumber,33302,0,65535, ,,
SWV,Software version,1.09,0,999, ,,
HWV,Hardware version,0,0,65535, ,,
PAV,Parameter version,1,0,65535, ,,
AID,Application ID,1,0,65535, ,"1:STANDARD,2:WINECOOLER,3:DOUBLEDOOR,4:COND101,5:GDM101,6:DUALBAND102,7:DUALDEFROST,13:DFNOFROST100,14:VFGDM100,15:MEDICINECOOLER,16:CondMKS100,17:KIR_NOFROST100",
CCO,Cold Cut-out,-2,-65,50,°C,,"Desired cut-out temperature in coldest position/ set-point
"
WCO,Warm Cut-out,2,-65,50,°C,,"Desired cut-out temperature in warmest position/ set-point
"
DTS,Default Temp Set,50,0,100,%,,"In case of knob (potentiometer) failure, this setting would bring the temperature set-point to a particular desired position, between the warmest and coldest set-points, which could be set as the percentage between warmest (0%) and coldest(100%) positions/ set-points
"
CDI,Cold Differential,8,-1,20,K,,"Difference in the cut-in and cut-out temperartures at the coldest position (set-point)
"
WDI,Warm Differential,8,-1,20,K,,"Difference in the cut-in and cut-out temperartures at the warmest position (set-point)
"
FSC,Fan stops on compressor cutout,1024,0,1,,"1:Enable,0:Disable","If this pamater is enabled , the Fan will stop when the compressor stops."
MIR,Min Runtime,300,0,1800,Sec,,"To prevent the compressor from frequent cut-outs, this parameter would ensure that the  compressor runs for atleast the specified time. This parameter overrides the cut-out temperature."
MIS,Min Stoptime,300,0,1800,Sec,,
MRF,Max Runtime function,1024,0,1,,"1:Enable,0:Disable","Tip: Setting this parameter too high could lead to unneccessary deep temperatures."""
MAR,Max Runtime,5400,0,10800,Sec,,"
""To prevent the compressor from frequent cut-ins, this parameter would ensure that the  compressor remains in idle state for atleast the specified time. This parameter overrides the cut-in temperatures.

Tip: Setting this parameter too high could lead to unneccessary warm temperatures."
ALF,Alarm low function,1024,0,1,,"1:Enable,0:Disable","
Enable or disable option for Max Run time."""
AHF,Alarm high function,1024,0,1,,"1:Enable,0:Disable","To avoid compressor damage due to continuous running for long durations, this parameter would set maximum run time allowed for the compressor.
"
COA,Cold Overtemp Alarm,9,-65,50,°C,,Enable or disable option for Alarm undertemp Function.
WOA,Warm Overtemp Alarm,13,-65,50,°C,,Enable or disable option for Alarm overtemp Function.
CUA,Cold Undertemp Alarm,12,-65,50,°C,,"Warmest temperature allowed at the coldest set-point after which an alarm would be raised.
"
WUA,Warm Undertemp Alarm,8,-65,50,°C,,"Warmest temperature allowed at the warmest set-point after which an alarm would be raised.
"
ADL,Alarm Delay,60,0,120,Min,,"Coldest temperature allowed at the coldest set-point after which an alarm would be raised.
"
