GroupCode,MenuCode,Name
Thermostat,CCO,Cold Cut-out
Thermostat,WCO,Warm Cut-out
Thermostat,DTS,Default Temp Set
Thermostat,CDI,Cold Differential
Thermostat,WDI,Warm Differential
Fan,FSC,Fan stops on compressor cutout
Compressor,MIR,Min Runtime
Compressor,MIS,Min Stoptime
Compressor,MRF,Max Runtime function
Compressor,MSF,Max Stoptime function
Compressor,MAR,Max Runtime
Compressor,MAS,Max Stoptime
Compressor,ERT,Error RunTime
Compressor,EST,Error StopTime
Alarm,ALF,Alarm low function
Alarm,AHF,Alarm high function
Alarm,ARH,Alarm on Heater relay
Alarm,ARF,Alarm on Fan relay 
Alarm,ARI,Alarm on Relay Inverted
Alarm,COA,Cold Overtemp Alarm
Alarm,WOA,Warm Overtemp Alarm
Alarm,CUA,Cold Undertemp Alarm
Alarm,WUA,Warm Undertemp Alarm
Alarm,ADL,Alarm Delay
Defrost,DEM,Defrost Method (name)
Defrost,FOD,Fan on during defrost
Defrost,HGD,Hot-Gas Defrost
Defrost,DTT,Defrost Terminate Temperature
Defrost,DRT,Defrost Reset Temperature
Defrost,DST,Defrost Start Temperature
Defrost,DRT,Drip-off Time
Defrost,MIT,Minimum Defrost Time
Defrost,MAT,Maximum Defrost Time
Defrost,MII,Minimum Defrost Interval
Defrost,MAI,Maximum Defrost Interval
Fan,FSA,Fan Start Delay
Fan,FSO,Fan Stop Delay
Fan,FON,Fan On Time
Fan,FOF,Fan Off Time
Defrost,FAD,Fan Delay after Defrost
Voltage Protection,VPF,Voltage Protect function
Voltage Protection,MIV,Minimum Cut-inVoltage
Voltage Protection,VTR,Voltage Threshold
Voltage Protection,MAV,Maximum Cut-in Voltage
Compressor,STF,Stop function
Compressor,ZCF,Zero-Cross switching Function
Compressor,STY,Sensor Type (name)
Compressor,ZCS,Zero-Cross Switching
Information (for internal use),TYN,Type Number 091X
Information (for internal use),SWV,Software version
Information (for internal use),PAV,Parameter version
Service Information,AID,Application ID
ETP R1 Settings,RCD,Remote display fahrenheit
ETP R1 Settings,RSR,Remote display 1 decimal
ETP R1 Settings,RLD,Remote Lock at Defrost
ETP R1 Settings,RID,Remote Indicate Defrost
ETP R1 Settings,RLS,Remote Lock to Setpoint
ETP R1 Settings,RSF,Remote Stop Function
ETP R1 Settings,RSO,Remote Sensor Offset
ETP R1 Settings,RSD,Remote Sensor Deviation
ETP R1 Settings,RST,Remote Sample Time
ETP R1 Settings,RDL,Remote Display Locktime
Service Information,,Control temperature
Service Information,,Defrost temperature
Service Information,,Condenser temperature
Service Information,,User set
Service Information,,Voltage
Service Information,,RelayCount
Service Information,,Cutin Cpr
Service Information,,Cutout Cpr
Service Information,,Alarm high temp
Service Information,,Alarm low temp
Service Information,,Compressor
Service Information,,Fan
Service Information,,Heater
Service Information,,Status
Service Information,,Alarm
Service Information,,Factory test
Service Information,HWV,Hardware version
Thermostat,,Panel Spindle Selection
Information (for internal use),TID,Serial Number
Information (for internal use),TYN,TypeNumber
