MenuCode,Name,DefaultValue,Min,Max,Unit,Enum,Help
TID,ID low part,1,0,65535, ,,
TID,ID high part,2,0,65535, ,,
TID,Serial Number,131072,0,10000000, ,,
TYN,Type Number 091X,33302,0,65535, ,,
TYN,TypeNumber 077F,33302,0,65535, ,,
TYN,TypeNumber,33302,0,65535, ,,
SWV,Software version,1.09,0,999, ,,
HWV,Hardware version,0,0,65535, ,,
PAV,Parameter version,1,0,65535, ,,
AID,Application ID,1,0,65535, ,"1:STANDARD,2:WINECOOLER,3:DOUBLEDOOR,4:COND101,5:GDM101,6:DUALBAND102,7:DUALDEFROST,13:DFNOFROST100,14:VFGDM100,15:MEDICINECOOLER,16:CondMKS100,17:KIR_NOFROST100",
CCO,Cold Cut-out,0,0,30,°C,,"Desired cut-out temperature in coldest position/ set-point
"
WCO,Warm Cut-out,0,0,30,°C,,"Desired cut-out temperature in warmest position/ set-point
"
TST,Temp Set Top,50,0,100,%,,"In case of knob (potentiometer) failure, this setting would bring the temperature set-point to a particular desired position, between the warmest and coldest set-points, which could be set as the percentage between warmest (0%) and coldest(100%) positions/ set-points
"
CDI,Compressor Differential,0.5,-1,20,K,,"Difference in the cut-in and cut-out temperartures at the coldest position (set-point)
"
MIR,Min Runtime,420,0,1800,Sec,,"To prevent the compressor from frequent cut-outs, this parameter would ensure that the  compressor runs for atleast the specified time. This parameter overrides the cut-out temperature."
MIS,Min Stoptime,60,0,1800,Sec,,
ALF,Alarm low function,1024,0,1,,"1:Enable,0:Disable","Tip: Setting this parameter too high could lead to unneccessary deep temperatures."""
AHF,Alarm high function,1024,0,1,,"1:Enable,0:Disable","
""To prevent the compressor from frequent cut-ins, this parameter would ensure that the  compressor remains in idle state for atleast the specified time. This parameter overrides the cut-in temperatures.

Tip: Setting this parameter too high could lead to unneccessary warm temperatures."
COA,Cold Overtemp Alarm,25,0,30,°C,,"
Enable or disable option for Alarm undertemp Function."""
WOA,Warm Overtemp Alarm,25,0,30,°C,,Enable or disable option for Alarm overtemp Function.
CUA,Cold Undertemp Alarm,2,0,30,°C,,"Warmest temperature allowed at the coldest set-point after which an alarm would be raised.
"
WUA,Warm Undertemp Alarm,2,0,30,°C,,"Warmest temperature allowed at the warmest set-point after which an alarm would be raised.
"
ADL,Alarm Delay,60,0,120,Min,,"Coldest temperature allowed at the coldest set-point after which an alarm would be raised.
"
FOD,Fan on during defrost,1024,0,1,,"1:Enable,0:Disable","Coldest temperature allowed at the warmest set-point after which an alarm would be raised.
"
DTT,Defrost Terminate Temperature,4,0,30,°C,,"Time delay to raise over or undertemperature alarm signal. It is not active at power up.
"
MIT,Minimum Defrost Time,900,0,3600,sec,,Used in natural defrost method to accelerate the defrosting.
MAT,Maximum Defrost Time,1800,0,7200,sec,,"Temperature at which the defrost session will be terminated.
"
MII,Minimum Defrost Interval,360,0,720,Min,,"Minimum time limit defined for defrost duration
"
FSA,Fan Start Delay,2700,0,3600,Sec,,"Maximum time limit defined for defrost duration
"
