MenuCode,Name,DefaultValue,Min,Max,Unit,Enum,Help
LSE,Lowest Temperature limit,0,-100,120,°C,,
HSE,Highest temperature limit,10,-100,120,°C,,
LDI,Lowest Temperature Differential,2,1,50,K,,
HDI,Highest Temperature Differential,2,1,50,K,,
FCt,Fan control method,0,0,2,"
","0: Always On(FAo),1:Fan follow Compressor(FFc) ,2:Fan Control(FPL)
",
Fod,Fan ON Delay,0,0,240,Sec,,
FSd,Fan Stop Delay,0,0,240,Sec,,
Foc,Fan On Cycle,0,0,960,Sec,,
FSC,Fan Stop Cycle,0,0,960,Sec,,
FSt,Fan Minimum Stop Time,10,0,960,Sec,,
Fdt,Fan Stop Time on Door Open,900,0,999,Sec,,
FLt,Fan Limit Temperature,50,0,50,°C,,
dFt,Defrost type,1,0,3,,"0:no,1:Natural Defrost(nAt),2:Electric Defrost(EL),3:Hot Gas Defrost(Hgd)
",
dtt,Defrost Terminate Temp,6,0,50,°C,,
dii,Defrost Minimum Interval,360,1,4320,min,,
dAi,Defrost Maximum Interval,420,1,4320,min,,
dAt,Defrost Maximum Time,30,0,480,min,,
dEt,Defrost Start by Evap Temp,-100,-100,0,°C,,
dCt,Defrost On Compressor Run Time,0,0,1,,"0:No,1:Yes",
dod,Drip Off time,2,0,60,min,,
Fdd,Fan Delay After Defrost,0,0,960,Sec,,
Ftd,Fan Start Temperature,25,-25,25,°C,,
dFa,Fan ON during Defrost,0,0,1,,"0:No,1:Yes",
Crt,Min Runtime,300,0,1800,Sec,,
CSt,Min Stoptime,300,0,1800,Sec,,
Cdd,Compressor Door open Delay,0,0,15,min,,
Srt,System Resume time,0,0,60,min,,
PoD,Power On Delay,300,0,1800,Sec,,
LAt,Low Temp Alarm,15,-100,120,°C,,
HAt,High Temp Alarm,15,-100,120,°C,,
Ltd,Low temp Alarm delay,2,0,240,min,,
Htd,High temp Alarm delay,2,0,240,min,,
Pdd,Alarm delay during  Pull Down/ Power up Delay,60,0,960,min,,
Eto,Eco Offset,6,-25,25,K,,
IPD,IPD/Pull down Duration,0,0,120,hour,,
Pit,Pulldown/IPD Initiate Temp,50,-50,120,°C,,
PLt,Pull Down Limit Temp,0,-100,120,°C,,
Edd,Eco Door Delay,180,0,360,min,,
Eco,Eco Mode,,,,,,
uLi,Minimum Cut-in Voltage,80,70,210,V,,
uL0,Minimum Cut out Voltage,70,70,200,V,,
uHi,Maximum Voltage,264,110,264,V,,
uPt,Voltage Protection function,,,,,,
CAL,Condenser Alarm Limit,80,0,200,°C,,
CbL,Condenser Block Limit,85,0,200,°C,,
CoL,Condenser OK Limit,60,0,200,°C,,
ZC,Zero Cross Config,0,0,1,,"0:No,1:Yes",
S2c,S2Config,,,,,"NC:Not Used,Con:Condenser, Def:defrost Sensor,Doc:Door closed Sensor,Doo:Door open Sensor,ES:Eco Switch, Pull down",
S1A,Sensor Type,0,1,1,,"0:NTC5K,1:NTC10K",
02C,Relay 2 Config,1,0,1,"
","0:Not used, 1:Defrost,1:Fan",
tSt,Enter Test mode,0,-1,1,,"0:Normal Mode,1:Test mode , -1: Service Mode",
tSE,Test mode setpoint,50,-100,120,K,,
tSD,Test mode differential ,1,0,50,K,,
onL,Order No Low,3501,0,65535,,,
onH,Order No high,0,0,65535,,,
oEL,OEM low ,0,0,65535,,,
oEH,OEM High,0,0,65535,,,
Cab,Cabinet Air Temp,0,-100,100,,,
Eva,Evap Temp,0,-100,100,,,
Con,Condenser Temp,0,-100,100,,,
Dor,Door Status,0,0,1,,"0:On,1:Off",
Di1,Di Switch Status,0,0,1,,"0:Act,1:Deact",
CPS,Compressor Status,1,1,2,,"0:Off,1:On,2:NA",
DFS,Defrost Relay Status,0,0,2,,"0:On,1:Off,2:NA",
FFS,Fan Relay Status,0,0,2,,"0:On,1:Off,2:NA",
Fir,Software Version,0,0,65535,,,
Aid,Application ID,0,0,65535,,,
Par,Parameter Version,0,0,65535,,,
CTi,Thermostat cut in,0,-100,100,°C,,
CTO,Themosatat cut out,0,-100,100,°C,,
LPt,Default Setpoint,50,0,50,K,,
RES,Relay Status in Service Mode,0,0,3,,,
idi,Initial Defrost Interval,3,0,40,Hrs,,
idd,Initial defrost duration,100,0,999,Cycles,,
Dod,Alarm Door,60,0,2,,,
IPE,IPD On/Off,,,,,,
EHd,Condenser OK Limit,2,1,2,°C,"0:No,1:Set, 2:Aut",
Ert,Condenser OK Limit,0,0,60,Mins,,
Est,Condenser OK Limit,0,0,60,Mins,,
Har,Hardware Version,0,0,65535,,,
ALS,Alarm status,0,1,32765,,,
uSp,Spindle position,0,1,32765,,,
thS,Thermostat status,1,1,7,,"1:Initial State,2:Serving; 3: Economic Mode, 4: Initial pull down, 5:Pull down, 6:Emergency Mode,7:Main switch Off ",
dES,Defrost status,1,1,4,,"1:Idle,2:Ice off; 3: Drip off, 4: Cooling preperation",
uAC,Main Voltage ,0,0,300,,,
THP,THERMOSTAT PREVIOUS STATE ,1,1,8,,,
USP,USER SETPOINT,0,0,765,,,
