Parameter_Index,ParameterName,Enum
Id_1048586,Main switch,"-1:Manual,0:Stop,1:Start"
Id_1054510,Delay of outputs at power up,
Id_1053441,Application mode,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1056110,DO2 Configuration,"0:None,1:Fans,2:Fan ECO,3:Defrost,4:Rail heat,5:Alarm,6:Light,7:Blinds,8:Compressor/LLSV,9:Compressor 2,10:Air heater"
Id_1056125,DO3 Configuration,"0:None,1:Fans,2:Fan ECO,3:Defrost,4:Rail heat,5:Alarm,6:Light,7:Blinds,8:Compressor/LLSV,9:Compressor 2,10:Air heater"
Id_1056140,DO4 Configuration,"0:None,1:Fans,2:Fan ECO,3:Defrost,4:Rail heat,5:Alarm,6:Light,7:Blinds,8:Compressor/LLSV,9:Compressor 2,10:Air heater"
Id_1056155,DO5 Configuration,"0:None,1:Fans,2:Fan ECO,3:Defrost,4:Rail heat,5:Alarm,6:Light,7:Blinds,8:Compressor/LLSV,9:Compressor 2,10:Air heater"
Id_1056170,DO6 Configuration,"0:None,1:Fans,2:Fan ECO,3:Defrost,4:Rail heat,5:Alarm,6:Light,7:Blinds,8:Compressor/LLSV,9:Compressor 2,10:Air heater"
Id_1056251,AO1 Configuration,"0:None,1:Rail heat PWM"
Id_1056200,DI1 Configuration,"0:None,1:DI status,2:Door function,3:Door alarm,4:Defrost start,5:Main switch,6:Night setback,7:Thermostat band,8:Alarm at closed,9:Alarm at open,10:Case cleaning,11:Forced cooling,12:Open blinds,13:Coordinated defrost,14:Forced closing,15:Shutdown,16:Light control,20:Leak detection,21:Adaptive liquid control"
Id_1056217,DI2 Configuration,"0:None,1:DI status,2:Door function,3:Door alarm,4:Defrost start,5:Main switch,6:Night setback,7:Thermostat band,8:Alarm at closed,9:Alarm at open,10:Case cleaning,11:Forced cooling,12:Open blinds,13:Coordinated defrost,14:Forced closing,15:Shutdown,16:Light control,20:Leak detection,21:Adaptive liquid control"
Id_1056234,DI3 Configuration,"0:None,1:DI status,2:Door function,3:Door alarm,4:Defrost start,5:Main switch,6:Night setback,7:Thermostat band,8:Alarm at closed,9:Alarm at open,10:Case cleaning,11:Forced cooling,12:Open blinds,13:Coordinated defrost,14:Forced closing,15:Shutdown,16:Light control,20:Leak detection,21:Adaptive liquid control"
Id_1048610,Refrigerant,"0:Not seleted,6:R13,7:R13b1,2:R22,8:R23,14:R32,11:R114,3:R134a,12:R142b,24:R170,15:R227,25:R290,16:R401A,18:R402A,19:R404A,21:R407A,22:R407B,20:R407C,37:R407F,49:R407H,23:R410A,32:R413A,30:R417A,31:R422A,33:R422D,34:R427A,35:R438A,40:R448A,41:R449A,48:R449B,43:R450A,44:R452B,45:R454B,9:R500,4:R502,10:R503,17:R507,36:R513A,26:R600,27:R600a,5:R717,28:R744,46:R1233zdE,38:R1234ze,39:R1234yf,47:R1234zeZ,29:R1270,42:R452A,1:Custom display,13:Custom"
Id_1048614,Refrigerant factor K1,
Id_1048615,Refrigerant factor K2,
Id_1048616,Refrigerant factor K3,
Id_1048611,Refrigerant factor A1,
Id_1048612,Refrigerant factor A2,
Id_1048613,Refrigerant factor A3,
Id_1053752,Pe sensor - Min range,
Id_1053751,Pe sensor - Max range,
Id_1053444,Temperature sensor type,"0:Pt 1000,1:PTC 1000,2:NTC 5k,3:NTC 10k"
Id_1056768,Food type,"0:None,1:Vegetables,2:Dairy,3:Meat and fish,4:Frozen food,5:Ice cream"
Id_1053450,Food temp. sensor,"1:Thermostat air,2:Alarm air,3:S3 Air ON evap.,4:S6 Product temp."
Id_1054083,Defrost method,"0:None,1:Electrical,2:Hot gas,4:Air/Offcycle"
Id_1054087,Defrost stop method,"0:Time,1:S5 sensor,2:S4 sensor"
Id_1053671,Defrost stop limit A,
Id_1054564,Network address,
Id_1056807,Service pin,"0:OFF,1:ON"
Id_1056109,DO1 Function,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier"
Id_1056124,DO2 Function,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier"
