Group,ParameterName,MenuCode
Start / Stop,Main switch,r12
Start / Stop,Delay of outputs at power up,o01
Configuration,Application mode,o61
Configuration,DO2 Configuration,q02
Configuration,DO3 Configuration,q03
Configuration,DO4 Configuration,q04
Configuration,DO5 Configuration,q05
Configuration,DO6 Configuration,q06
Configuration,AO1 Configuration,q09
Configuration,DI1 Configuration,o02
Configuration,DI2 Configuration,o37
Configuration,DI3 Configuration,o84
Configuration,Refrigerant,o30
Configuration,Refrigerant factor K1,P83
Configuration,Refrigerant factor K2,P84
Configuration,Refrigerant factor K3,P85
Configuration,Refrigerant factor A1,
Configuration,Refrigerant factor A2,
Configuration,Refrigerant factor A3,
Configuration,Pe sensor - Min range,o20
Configuration,Pe sensor - Max range,o21
Configuration,Temperature sensor type,o06
Configuration,Food type,r89
Configuration,Food temp. sensor,q39
Configuration,Defrost method,d01
Configuration,Defrost stop method,d10
Configuration,Defrost stop limit A,d02
Configuration,Network address,o03
Configuration,Service pin,o04
Configuration,DO1 Function,U61
Configuration,DO2 Function,U62
Configuration,DO3 Function,U63
Configuration,DO4 Function,U64
Configuration,DO5 Function,U65
Configuration,DO6 Function,U66
Configuration,DI1 Function,Y55
Configuration,DI2 Function,Y56
Configuration,DI3 Function,Y57
Configuration,AI1 Function,Y58
Configuration,AI2 Function,Y59
Configuration,AI3 Function,Y60
Configuration,AI4 Function,Y61
Configuration,AI5 Function,Y62
Configuration,AI6 Function,Y63
Configuration,AI7 Function,Y64
Configuration,AO1 Function,U69
Thermostat control,Control state A,u00
Thermostat control,Thermostat air temp. A,u17
Thermostat control,Food temperature A,U72
Thermostat control,S3 Air ON evap. A,u12
Thermostat control,S3 Air ON evap. B,u76
Thermostat control,S4 Air OFF evap. A,u16
Thermostat control,Night condition,u13
Thermostat control,Thermostat cutin temp.,u90
Thermostat control,Thermostat cutout temp.,u91
Thermostat control,Thermostat runtime A,u18
Thermostat control,Thermostat band,u86
Thermostat control,Thermostat mode,r14
Thermostat control,Cutout 1,r00
Thermostat control,Cutout 2,r21
Thermostat control,Differential,r01
Thermostat control,Max cutout limit,r02
Thermostat control,Min cutout limit,r03
Thermostat control,Thermostat sensor S4 %,r15
Thermostat control,Thermostat sensor S4 % night,r61
Thermostat control,Night offset,r13
Thermostat control,S4 frost protection,r98
Thermostat control,Air heater neutral zone,r62
Thermostat control,Air heater start delay,r63
Thermostat control,Melt interval,r16
Thermostat control,Melt period,r17
Alarm limits and delays,Control state A,u00
Alarm limits and delays,Alarm status,
Alarm limits and delays,Alarm air temp. A,u57
Alarm limits and delays,Alarm air temp. B,U34
Alarm limits and delays,High alarm limit,
Alarm limits and delays,Low alarm limit,
Alarm limits and delays,S3 Air ON evap. A,u12
Alarm limits and delays,S3 Air ON evap. B,u76
Alarm limits and delays,S4 Air OFF evap. A,u16
Alarm limits and delays,S6 product temp.,u36
Alarm limits and delays,Reset alarms,
Alarm limits and delays,Alarm sensor S4% A,A36
Alarm limits and delays,High alarm limit 1,A13
Alarm limits and delays,Low alarm limit 1,A14
Alarm limits and delays,High alarm limit 2,A20
Alarm limits and delays,Low alarm limit 2,A21
Alarm limits and delays,Alarm delay A,A03
Alarm limits and delays,Alarm delay pulldown A,A12
Alarm limits and delays,Alarm delay B,A53
Alarm limits and delays,Use product sensor S6,a01
Alarm limits and delays,S6 High alarm limit 1,A22
Alarm limits and delays,S6 Low alarm limit 1,A23
Alarm limits and delays,S6 High alarm limit 2,A24
Alarm limits and delays,S6 Low alarm limit 2,A25
