GroupCode,MenuCode,Name
"tHE","iCi","Initial cut in"
"dEF","Add","Adaptive defrost"
"dEF","dCt","Defrost on compressor time"
"CoP","uPt","Voltage protection"
"diS","rLt","Display Range Limit"
"diS","SSC","Show Pull Down"
"diS","SHo","Show Holiday"
"diS","SdF","Show Defrost"
"ALA","uAL","Voltage alarm"
"ALA","ACA","Auto Clearance of Alarm"
"ASi","uSA","MODBUS Safety"
"SEr","ouS","DOs Status"
"dEF","dFt","Def. type"
"CoP","EHd","Sensor Error Type"
"diS","CFu","Display Unit"
"diS","trS","Temp sensor to display"
"diS","rES","Display Resolution"
"ASi","S1C","S1 Config"
"ASi","S2C","S2 Config"
"ASi","S1A","S1 Application"
"ASi","S2A","S2 Application"
"ASi","o1C","DO1 Config"
"ASi","b1C","Button 1 Short Config"
"ASi","b1L","Button 1 Long Config"
"ASi","b2C","Button 2 Short Config"
"ASi","b2L","Button 2 Long Config"
"ASi","b3C","Button 3 Short Config"
"ASi","b3L","Button 3 Long Config"
"ASi","b4C","Button 4 Short Config"
"ASi","b4L","Button 4 Long Config"
"tHE","SEt","Set point"
"tHE","SPr","Set point adjustment ratio"
"tHE","diF","Differential"
"tHE","HSE","High Set point"
"tHE","LSE","Low Set point"
"Pud","PLt","Pull-down limit temp"
"dEF","dtt","Def terminate temp"
"dEF","dEt","Defrost start evaporator temp."
"dEF","ddt","Defrost Delta T (ddt)"
"dEF","drt","Def reset temp"
"CoP","Pot","Power-on temperature"
"diS","doF","Display Offset"
"ALA","HAt","High Temp Alarm"
"ALA","LAt","Low Temp Alarm"
"ECA","Hto","Holiday Temperature Offset"
"ASi","t1A","Temp Adj. for S1"
"ASi","t2A","Temp Adj. for S2"
"Pud","Pcy","Pull-down Cycling"
"Pud","Pdi","Pull-down defrost Interval"
"Pud","Pdd","Pull-down duration"
"dEF","dii","Def Min Interval"
"dEF","dAt","Def Max time"
"dEF","dAi","Def Max Interval"
"dEF","dit","Def Min Time"
"dEF","doC","Defrost by Comp. running time"
"dEF","idi","Initial Defrost Interval"
"dEF","idd","Initial Defrost Duration"
"CoP","uLi","Minimum Cutin voltage"
"CoP","uLo","Minimum cut-out voltage"
"CoP","uHi","Maximum voltage"
"CoP","Ert","Error run time"
"CoP","ESt","Error stop time"
"CoP","CSt","Min Stop time"
"CoP","Crt","Min run time"
"CoP","Cot","Max Off time"
"CoP","Pod","Power On Delay"
"Con","CAL","Condenser Alarm Limit"
"Con","CbL","Condenser Block Limit"
"Con","CoL","Condenser OK limit"
"Con","CLL","Condenser Low Temp. Limit"
"diS","din","Display Intensity"
"diS","ddL","Display Delay"
"diS","dLt","Lock-time After defrost"
"ALA","Htd","High Alarm delay"
"ALA","Ltd","Low Alarm delay"
"ALA","Pdd","Pulldown delay"
"ALA","LEA","Leakage alarm"
"ALA","Abd","Alarm Buzzer Duration"
"ECS","tto","Time to pull down"
"ASi","PS1","Pass-word level1"
"ASi","PS2","Pass-word level2"
"ASi","PS3","Pass-word level3"
"SEr","ACt","Accumulated Compressor run time"
"SEr","AEt","Accumulated ERC run time"
"SEr","uAC","Voltage value"
"SEr","rL1","DO1 Counter"
"SEr","int","Interval Counter"
"SEr","dnt","Defrost Time Counter"
"SEr","Snu","Serial Number"
"SEr","Fir","Firmware Version"
"SEr","HAr","Hardware Version"
"SEr","onL","Order No Low"
"SEr","oEL","OEM Code Low"
"SEr","oEn","OEM Code middle"
"SEr","oEH","OEM Code High"
"SEr","PAr","Parameter Version"
"SEr","CHd","Manufacturing Date"
"Sts","Ctt","Condensor temp"
"Sts","Et1","Evaporator1 temp"
"Sts","Aus","AUX temp"
"Sts","Att","Air temp"
"dis","Scs","Show Compressor Symbol"
"dis","Sds","Show Defrost Symbol"
"Cop","PF1","Relay Power Factor"
"SEr","dbr","Database version"
"Acc.tHE","iCi","Access Initial cut in"
"Acc.dEF","Add","Access Adaptive defrost"
"Acc.dEF","dCt","Access Defrost on compressor time"
"Acc.CoP","uPt","Access Voltage protection"
"Acc.diS","rLt","Access Display Range Limit"
"Acc.diS","SSC","Access Show Pull Down"
"Acc.diS","SHo","Access Show Holiday"
