DB_Parameter_Name,KP_Parameter_Name,Result,DB_Menucode,KP_Menucode,Result,DB_DefaultValue,KP_DefaultValue,Result,DB_MinValue,KP_MinValue,Result,DB_MaxValue,KP_MaxValue,Result,DB_Unit,KP_Unit,Result,DB_Help,KP_Help,Result
Lowest Temperature Limit,Lowest Temperature Limit,True,LSE,LSE,True,32,32.00,True,-148,-148.00,True,248,248.00,True,°F,°F,True,,Cut out temperature at coldest position of the spindle (thermostat knob),False
Highest Temperature Limit,Highest Temperature Limit,True,HSE,HSE,True,50,50.00,True,-148,-148.00,True,248,248.00,True,°F,°F,True,,Cut out temperature at warmest position of the spindle (thermostat knob),False
Lowest Temperature Differential,Lowest Temperature Differential,True,Ldi,Ldi,True,3.6,3.60,False,1.8,1.80,False,90,90.00,True,°F,°F,True,,This defines the difference between the cut-out and the cut-in at coldest position of thermostat,False
Highest Temperature Differential,Highest Temperature Differential,True,Hdi,Hdi,True,3.6,3.60,False,1.8,1.80,False,90,90.00,True,°F,°F,True,,This defines the difference between the cut-out and the cut-in at warmest position of thermostat,False
Fan Limit Temperature,Fan Limit Temperature,True,FLt,FLt,True,122,122.00,True,32,32.00,True,122,122.00,True,°F,°F,True,,"This function prevents the evaporator fan to operate if the temperature is above the fan limit temperature. If the defrost sensor registers a higher temperature than the one set here, the fan will be stopped to avoid the warm air circulation in the cabinet. Fan will restart when evap temperature goes 2 degC less than FLt (FLt-2 DegC). This parameter is active only when evaporator sensor is configured",False
Low temp Alarm limit,Low temp Alarm limit,True,LAt,LAt,True,23,23.00,True,-148,-148.00,True,248,248.00,True,°F,°F,True,,If cabinet air temperature goes below this value will raise low temperature alarm (Note: All of these alarm status will be displayed only in koolprog),False
High temp Alarm limit,High temp Alarm limit,True,HAt,HAt,True,59,59.00,True,-148,-148.00,True,248,248.00,True,°F,°F,True,,If cabinet air temperature goes above this value will raise low temperature alarm,False
Pull down and IPD Initiate Temp,Pull down and IPD Initiate Temp,True,Pit,Pit,True,122,122.00,True,-58,-58.00,True,248,248.00,True,°F,°F,True,,"This parameter indicates the temperature at which IPD or Pulldown will be initiated. - At Power up: If cab air temp>Pit for more than 5 minutes trigger the Initial pull down.- During normal operation:  if the cab air temp stays above Pit>1hr trigger the Pull down",False
Pull Down Limit Temp,Pull Down Limit Temp,True,PLt,PLt,True,32,32.00,True,-148,-148.00,True,248,248.00,True,°F,°F,True,,This parameter sets the cut out temperature during Pull-down cycle to achieve more cooling. Controller will exit the pull down once this temperature is achieved or expiry of  pull down duration (IPD) ,False
Eco Offset,Eco Offset,True,Eto,Eto,True,10.8,10.80,False,-45,-45.00,True,45,45.00,True,°F,°F,True,,Defines offset temperature during ECO mode. Offset can be possitive or negative,False
Condenser Alarm Limit,Condenser Alarm Limit,True,CAL,CAL,True,176,176.00,True,32,32.00,True,248,248.00,True,°F,°F,True,,This parameter sets the condenser temperature at which an alarm will be generated,False
Condenser Block Limit,Condenser Block Limit,True,CbL,CbL,True,185,185.00,True,32,32.00,True,248,248.00,True,°F,°F,True,,This parameter sets the compressor switched off due to high condenser temperature,False
Condenser OK Limit,Condenser OK Limit,True,CoL,CoL,True,140,140.00,True,32,32.00,True,248,248.00,True,°F,°F,True,,This parameter sets the compressor to switch On again after switched off due to  high condenser temperature respecting minimum compressor stop time,False
Defrost Terminate Temp,Defrost Terminate Temp,True,dtt,dtt,True,42.8,42.80,False,32,32.00,True,122,122.00,True,°F,°F,True,,"This parameter defines the evaporator temperature at which defrot must be terminated. controller will terminate the defrost based on the defrost terminate temperature (dtt) or Maximum defrost time (dAt). If no evaporator sensor is used, defrost would be terminated based on the maximum defrost time (dAt)",False
Defrost Start by Evap Temp,Defrost Start by Evap Temp,True,dEt,dEt,True,-148,-148.00,True,-148,-148.00,True,32,32.00,True,°F,°F,True,,Evaporator Temperature at which the defrost to be triggered after minimum defrost interval to avoid excess frost on the evaporator (Active only if evaporator sensor is configured),False
Fan Start Temperature after defrost,Fan Start Temperature after defrost,True,Ftd,Ftd,True,77,77.00,True,-13,-13.00,True,77,77.00,True,°F,°F,True,,"This parameter determines at what evaporator temperature the fan will start after a defrost cycle. If the time set in ""Fdd"" occurs before the temperature set in ""Ftd"", the fan will start in line with ""Fdd"". If the temperature set in ""Ftd"" occurs first, then the fan will start in line with ""Ftd""",False
Holiday Temperature offset,Holiday Temperature offset,True,Hto,Hto,True,14.4,14.40,False,-45,-45.00,True,45,45.00,True,°F,°F,True,,Defines the offset temperature during holiday mode. Offset can be possitive or negative.,False
Heater low set point,Heater low set point,True,CHI,CHI,True,-148,-148.00,True,-148,-148.00,True,248,248.00,True,°F,°F,True,,Heater Cut out temperature at coldest position of the spindle (thermostat knob) auto heating,False
Heater high set point,Heater high set point,True,WHI,WHI,True,-148,-148.00,True,-148,-148.00,True,248,248.00,True,°F,°F,True,,Heater Cut out temperature at warmest position of the spindle (thermostat knob) auto heating,False
Heater low differential,Heater low differential,True,CDH,CDH,True,3.6,3.60,False,1.8,1.80,False,90,90.00,True,°F,°F,True,,This defines the difference between the heater cut-out and the cut-in at coldest position of thermostat for auto heating,False
Heater High differential,Heater High differential,True,CDH,CDH,True,3.6,3.60,False,1.8,1.80,False,90,90.00,True,°F,°F,True,,This defines the difference between the heater cut-out and the cut-in at warmest position of thermostat for Auto heating,False
