ParameterName,GroupName
Main switch,
,Start / Stop
,Digital outputs
,Virtual DI
Defrost method,
,Configuration
,Defrost control
Defrost stop method,
,Configuration
,Defrost control
Defrost stop limit A,
,Configuration
,Defrost control
Network address,
,Configuration
,Network
Control state A,
,Thermostat control
,Alarm limits and delays
,Humidity control
,Injection control
,Defrost control
,Fan control
,Railheat control
,Light/Blinds/Cleaning control
,Display control
,Master control
Thermostat air temp. A,
,Thermostat control
,Injection control
S3 Air ON evap. A,
,Thermostat control
,Alarm limits and delays
,Injection control
,Analogue inputs
,Virtual AI
S3 Air ON evap. B,
,Thermostat control
,Alarm limits and delays
,Injection control
,Analogue inputs
,Virtual AI
S4 Air OFF evap. A,
,Thermostat control
,Alarm limits and delays
,Injection control
,Analogue inputs
,Virtual AI
Night condition,
,Thermostat control
,Light/Blinds/Cleaning control
S6 product temp.,
,Alarm limits and delays
,Analogue inputs
,Virtual AI
Humidity sensor,
,Humidity control
,Analogue inputs
AKV opening A,
,Injection control
,Digital outputs
,Virtual DO
Pe Evap. pressure,
,Injection control
,Analogue inputs
,Virtual AI
Te Evap. temp.,
,Injection control
,Analogue inputs
S2 Gas outlet A,
,Injection control
,Analogue inputs
,Virtual AI
S5 Evaporator A,
,Defrost control
,Analogue inputs
,Virtual AI
S5 Evaporator B,
,Defrost control
,Analogue inputs
,Virtual AI
Defrost A,
,Defrost control
,Digital outputs
,Virtual DO
Defrost B,
,Defrost control
,Digital outputs
,Virtual DO
Compressor 1,
,Compressor
,Digital outputs
,Virtual DO
Compressor 2,
,Compressor
,Digital outputs
,Virtual DO
Fan,
,Fan control
,Digital outputs
,Virtual DO
Fan ECO,
,Fan control
,Digital outputs
,Virtual DO
Rail heat PWM,
,Railheat control
,Analogue outputs
,Virtual AO
Light,
,Light/Blinds/Cleaning control
,Digital outputs
,Virtual DO
Blinds,
,Light/Blinds/Cleaning control
,Digital outputs
,Virtual DO
