"Group_Code","Menu_Code","Group_Name","Name","PNU","Default_Value","Minimum_Value","Maximum_Value","Unit","Scaling","Datatype","Enum","Read_Only","Help","Decimals","Variable_Name","Visibility_Index","Visibility_Rule

"
"","r12","Start / Stop","Main switch","117","0","-1","1","","0","Enum","0:Manual,1:Standby,2:Run","1","","0","Id_0","0","


"
"","o61","Configuration","Application mode","2077","1","0","9","","0","Enum","0:Not selected,1:Standard Alarm/Comp/Light,2:Standard Railheat/Comp/Light,3:Standard Alarm/Comp/Railheat,4:Standard Alarm/Railheat/Light,5:Hotgas,6:Dual case w. 1 evap,7:Dual case w. 2 evap,8:Coldroom,9:Custom","1","","0","Id_124","0","


"
"","q02","Configuration","DO2 Configuration","2205","6","0","15","","0","Enum","0:Not used,1:Fan,2:Fan ECO,3:Defrost,4:Railheat,5:Alarm,6:Light,7:Blinds,8:Compressor,9:Compressor 2,10:Air heater,11:Drain valve,12:Suction valve,13:Hotgas valve,14:Defrost B,15:Drain valve","1","","0","Id_125","28","Id_124 == 9

"
"","q03","Configuration","DO3 Configuration","2206","8","0","15","","0","Enum","0:Not used,1:Fan,2:Fan ECO,3:Defrost,4:Railheat,5:Alarm,6:Light,7:Blinds,8:Compressor,9:Compressor 2,10:Air heater,11:Drain valve,12:Suction valve,13:Hotgas valve,14:Defrost B,15:Drain valve","1","","0","Id_126","28","Id_124 == 9

"
"","q04","Configuration","DO4 Configuration","2207","9","0","15","","0","Enum","0:Not used,1:Fan,2:Fan ECO,3:Defrost,4:Railheat,5:Alarm,6:Light,7:Blinds,8:Compressor,9:Compressor 2,10:Air heater,11:Drain valve,12:Suction valve,13:Hotgas valve,14:Defrost B,15:Drain valve","1","","0","Id_128","28","Id_124 == 9

"
"","q05","Configuration","DO5 Configuration","2208","3","0","15","","0","Enum","0:Not used,1:Fan,2:Fan ECO,3:Defrost,4:Railheat,5:Alarm,6:Light,7:Blinds,8:Compressor,9:Compressor 2,10:Air heater,11:Drain valve,12:Suction valve,13:Hotgas valve,14:Defrost B,15:Drain valve","1","","0","Id_127","28","Id_124 == 9

"
"","q06","Configuration","DO6 Configuration","2209","1","0","15","","0","Enum","0:Not used,1:Fan,2:Fan ECO,3:Defrost,4:Railheat,5:Alarm,6:Light,7:Blinds,8:Compressor,9:Compressor 2,10:Air heater,11:Drain valve,12:Suction valve,13:Hotgas valve,14:Defrost B,15:Drain valve","1","","0","Id_133","28","Id_124 == 9

"
"","q09","Configuration","AO1 Configuration","2212","0","0","1","","0","Enum","0:Not used,1:PWM Railheat","1","","0","Id_149","0","

"
"","o02","Configuration","DI1 Configuration","2001","0","0","21","","0","Enum","0:Not used,1:Status only,2:Door switch function,3:Door alarm,4:Defrost start,5:Mainswitch,6:Night,7:Thermostat band,8:Alarm at closed,9:Alarm at open,10:Case cleaning,11:Forced cooling,12:Blinds open,13:Not used,14:Forced closing,15:Case shutdown,16:Not used,17:Not used,18:Not used,19:Not used,20:Leak detection,21:Flooded injection","1","","0","Id_134","30","Id_124 != 7 && Id_124 != 8

"
"","o37","Configuration","DI2 Configuration","2055","0","0","21","","0","Enum","0:Not used,1:Status only,2:Door switch function,3:Door alarm,4:Defrost start,5:Mainswitch,6:Night,7:Thermostat band,8:Alarm at closed,9:Alarm at open,10:Case cleaning,11:Forced cooling,12:Blinds open,13:Co-ordinated defrost,14:Forced closing,15:Case shutdown,16:Not used,17:Not used,18:Not used,19:Not used,20:Leak detection,21:Flooded injection","1","","0","Id_135","0","

"
"","o84","Configuration","DI3 Configuration","2115","0","0","21","","0","Enum","0:Not used,1:Status only,2:Door switch function,3:Door alarm,4:Defrost start,5:Mainswitch,6:Night,7:Thermostat band,8:Alarm at closed,9:Alarm at open,10:Case cleaning,11:Forced cooling,12:Blinds open,13:Not used,14:Forced closing,15:Case shutdown,16:Light on/off,17:Not used,18:Not used,19:Not used,20:Leak detection,21:Flooded injection","1","","0","Id_136","0","

"
"","o30","Configuration","Refrigerant","2551","0","0","37","","0","Enum","0:Not Selected,1:R12,2:R22,3:R134a,4:R502,5:R717,6:R13,7:R13b1,8:R23,9:R500,10:R503,11:R114,12:R142b,13:User Defined,14:R32,15:R227,16:R401A,17:R507,18:R402A,19:R404A,20:R407C,21:R407A,22:R407B,23:R410A,24:R170,25:R290,26:R600,27:R600a,28:R744,29:R1270,30:R417A,31:R422A,32:R413A,33:R422D,34:R427A,35:R438A,36:XP10,37:R407F","1","","0","Id_129","0","

"
"","P83","Configuration","Refrigerant factor K1","2201","300","-999","999","","0","INT","","1","","0","Id_130","29","Id_129 == 1

"
"","P84","Configuration","Refrigerant factor K2","2202","300","-999","999","","0","INT","","1","","0","Id_131","29","Id_129 == 1

"
"","P85","Configuration","Refrigerant factor K3","2203","300","-999","999","","0","INT","","1","","0","Id_132","29","Id_129 == 1

"
"","o20","Configuration","Pressure sensor min range","2034","-1","-1","5","","0","","","1","","1","Id_138","0","

"
"","o21","Configuration","Pressure sensor max range","2033","12","6","200","","0","","","1","","1","Id_139","0","

"
"","o06","Configuration","Temperature sensor type","2014","0","0","2","","0","Enum","0:Pt,1:PTC 1000,2:NTC 10k","1","","0","Id_137","0","

"
"","d01","Configuration","Defrost method","1000","1","0","4","","0","Enum","0:None,1:Electric,2:Hotgas,3:Brine,4:Air","1","","0","Id_23","0","

"
"","d10","Configuration","Defrost stop sensor","1009","0","0","3","","0","Enum","0:Time,1:S5 sensor,2:S4 sensor,3:Multiple S5","1","","0","Id_32","0","

"
"","d02","Configuration","Defrost stop temperature","1001","6","0","50","","0","","","1","","1","Id_24","11","Id_32 > 0

"
"","r89","Configuration","Food type","209","0","0","5","","0","Enum","0:Not selected,1:Vegetables,2:Dairy,3:Meat,4:Frozen food,5:Ice cream","1","","0","Id_282","0","

"
"","o03","Configuration","Network address","2008","0","0","240","","0","INT","","1","","0","Id_148","0","

"
"","o04","Configuration","Service pin","60029","0","0","1","","0","Enum","0:OFF,1:ON","1","","0","Id_326","0","

"
"","u00","Thermostat control-Status","Control state","2007","10","0","48","°C","0","Enum","0:(s0) Normal,1:(s1) Hold after defrost,2:(s2) Comp. Min ON,3:(s3) Comp. Min OFF,4:(s4) Drip off,5:(s5),6:(s6),7:(s7),8:(s8),9:(s9),10:(s10) Mainswitch OFF,11:(s11) Thermostat cutout,12:(s12) Low S4 temp.,13:(s13),14:(s14) Defrost,15:(s15) Fan delay,16:(s16) Forced Closing,17:(s17) Door open,18:(s18) Melt period,19:(s19) Modulating temp.,20:(s20) Emergency cooling,21:(s21) Injection error,22:(s22) Start Up,23:(s23) Adaptive SH control,24:(s24) Start injection,25:(s25) Manual control,26:(s26) No refrigerant selected,27:(s27),28:(s28),29:(s29) Cleaning,30:(s30) Forced Cooling,31:(s31),32:(s32) Power up,33:(s33) Heating,34:(s34),35:(s35),36:(s36),37:(s37),38:(s38),39:(s39),40:(s40),41:(s41),42:(s42),43:(s43),44:(s44),45:(s45) Shutdown,46:(s46),47:(s47),48:(s48) Flooded inj.","1","","0","Id_284","0","

"
"","u17","Thermostat control-Status","Thermostat air temp.","2532","0","-200","200","°C","0","","","1","","1","Id_285","0","

"
"","u16","Thermostat control-Status","S4 air off temp.","2531","0","-200","200","°C","0","","","1","","1","Id_286","0","

"
"","u12","Thermostat control-Status","S3 air on temp.","2530","0","-200","200","°C","0","","","1","","1","Id_287","0","

"
"","u76","Thermostat control-Status","S3B air on temp.","2596","0","-200","200","°C","0","","","1","","1","Id_288","22","Id_124 == 6 || Id_124 == 7

"
"","u13","Thermostat control-Status","Night Condition","2533","0","0","1","°C","0","Enum","0:OFF,1:ON","1","","0","Id_247","0","

"
"","u90","Thermostat control-Status","Cutin temp.","2612","4","-200","200","°C","0","","","1","","1","Id_244","0","

"
"","u91","Thermostat control-Status","Cutout temp.","2613","2","-200","200","°C","0","","","1","","1","Id_245","0","

"
"","u18","Thermostat control-Status","Thermostat runtime","2539","0","0","999","°C","0","INT","","1","","0","Id_246","0","

"
"","u86","Thermostat control-Status","Thermostat band","2607","1","1","2","°C","0","Enum","0:Band 1,1:Band 2","1","","0","Id_248","7","(Id_134 == 7) || (Id_135 == 7) || (Id_136 == 7)

"
"","r14","Thermostat control-Settings","Thermostat mode","124","1","1","2","°C","0","Enum","0:ON/OFF,1:Modulating","1","","0","Id_1","0","

"
"","r00","Thermostat control-Settings","Cutout","100","2","-50","50","°C","0","","","1","","1","Id_2","0","

"
"","r21","Thermostat control-Settings","Cutout band 2","131","2","-50","50","°C","0","","","1","","1","Id_8","7","(Id_134 == 7) || (Id_135 == 7) || (Id_136 == 7)

"
"","r01","Thermostat control-Settings","Differential","101","2","0.1","20","°C","0","","","1","","1","Id_3","0","

"
"","r15","Thermostat control-Settings","Thermostat S4 %","123","100","0","100","°C","0","INT","","1","","0","Id_6","0","

"
"","r61","Thermostat control-Settings","Thermostat S4% night","182","100","0","100","°C","0","INT","","1","","0","Id_11","0","

"
"","r13","Thermostat control-Settings","Night offset","125","0","-50","50","°C","0","","","1","","1","Id_7","0","

"
"","r62","Thermostat control-Settings","Air heater neutralzone","183","5","0","50","°C","0","","","1","","1","Id_12","8","Id_124 == 9 && (Id_125 == 10 || Id_126 == 10 || Id_128 == 10 || Id_127 == 10 || Id_133 == 10)

"
"","r63","Thermostat control-Settings","Air heater start delay","184","240","0","240","°C","0","INT","","1","","0","Id_13","8","Id_124 == 9 && (Id_125 == 10 || Id_126 == 10 || Id_128 == 10 || Id_127 == 10 || Id_133 == 10)

"
"","r98","Thermostat control-Settings","S4 Frost protection","216","-50","-50","50","°C","0","","","1","","1","Id_14","0","

"
"","r16","Thermostat control-Settings","Melt Interval","122","1","0","10","°C","0","INT","","1","","0","Id_9","0","

"
"","r17","Thermostat control-Settings","Melt period","121","5","0","30","°C","0","INT","","1","","0","Id_10","0","

"
"","r02","Thermostat control-Settings","Max cutout limit","102","50","-49","50","°C","0","","","1","","1","Id_4","0","

"
"","r03","Thermostat control-Settings","Min cutout limit","103","-50","-50","49","°C","0","","","1","","1","Id_5","0","

"
"","u57","Alarm settings-Status","Alarm air temp.","2578","0","-200","200","K","0","","","1","","1","Id_263","0","

"
"","U34","Alarm settings-Status","Alarm air B temp.","2671","0","-200","200","K","0","","","1","","1","Id_264","22","Id_124 == 6 || Id_124 == 7

"
"","u36","Alarm settings-Status","S6 Product temp. ","2555","0","-200","200","K","0","","","1","","1","Id_297","18","Id_124 != 6 && Id_124 != 7 && Id_88 == 1

"
"","A36","Alarm settings-Settings","Alarm sensor S4 %","10037","100","0","100","K","0","INT","","1","","0","Id_85","0","

"
"","A13","Alarm settings-Settings","High alarm limit","10019","8","-50","50","K","0","","","1","","1","Id_74","0","

"
"","A20","Alarm settings-Settings","High alarm limit band 2","10021","8","-50","50","K","0","","","1","","1","Id_76","7","(Id_134 == 7) || (Id_135 == 7) || (Id_136 == 7)

"
"","A14","Alarm settings-Settings","Low alarm limit","10020","-30","-50","50","K","0","","","1","","1","Id_75","0","

"
"","A21","Alarm settings-Settings","Low alarm limit band 2","10022","-30","-50","50","K","0","","","1","","1","Id_77","7","(Id_134 == 7) || (Id_135 == 7) || (Id_136 == 7)

"
