Name,Enum
Main switch,"0:Off,1:On"
Operation mode,"0:SH control,1:Valve driver"
Application select,"0:ChillerPlate,1:AirCoil frost,2:AirCoil,3:HP A2W,4:HP W2W,5:Gen. SH Ctrl."
Compressor capacity,
Sensor select,"0:S3,1:S4"
Thermostatic mode,"0:Not Used,1:CutIn/CutOut,2:MTR"
Temperature setpoint,
Differential,
Ext. ref offset max.,
Ext. ref offset min,
S2 Correction,
S3 Correction,
S4 Correction,
Pe Correction,
Pc Correction,
MTR Tn,
MTR Kp,
Refrigerant,"0:Undef,1:R12,2:R22,3:R134a,4:R502,5:R717,6:R13,7:R13b1,8:R23,9:R500,10:R503,11:R114,12:R142b,13:R user,14:R32,15:R227,16:R401A,17:R507,18:R402A,19:R404A,20:R407C,21:R407A,22:R407B,23:R410A,24:R170,25:R290,26:R600,27:R600a,28:R744,29:R1270,30:R417A,31:R422A,32:R413A,33:R422D,34:R427A,35:R438A,36:XP10,37:R407F,38:R1234ze,39:R1234yf,40:R448A,41:R449A,42:R452A"
Antonie constant A1,
Antonie constant A2,
Antonie constant A3,
Refrigerant min. temperature,
Refrigerant max. temperature,
Startup mode,"0:Prop. Ctrl,1:Fix OD w prot,2:Fix OD wo prot"
Startup time,
Min. startup time,
Startup OD,
SH reference mode,"0:Fixed sp.,1:Loadap,2:MSS,3:Delta temp"
SH fixed setpoint,
SH max.,
SH min.,
SH ref. delta temp. factor,
SH Tn,
SH Kp Min.,
SH Kp,
SH KpTe,
Minimum OD,
Maximum OD,
SH close function,"0:Off,1:On"
SH close setpoint,
SH close Tn divide,
SH close Kp factor,
Limit Kp,
Limit Tn,
Min. S4 mode,"0:Off,1:On"
Min. S4 setpoint,
Stability,
T0 varians factor,
MOP function,"0:Off,1:On"
MOP setpoint,
LOP function,"0:Off,1:On"
LOP setpoint,
LOP priority mode,"0:Off,1:On"
LOP max. time,
High cond. temp protection function,"0:Off,1:On"
High cond. temp. protection setpoint,
Comp. speed feed forward Function,"0:Off,1:On"
Comp FF low cap. point,
Comp FF SH Tn factor,
Average  OD,
Estimated KpTe,
Average delta temperature,
SH control sensor error action,"0:Stop,1:Fixed OD,2:Average"
Thermostatic sensor error action,"0:Stop,1:Fixed OD,2:Average"
Fixed OD during emergency cooling,
Heat startup time,
Heat min. startup time,
Heat startup OD,
Heat SH fixed setpoint,
Heat SH max.,
Heat SH min.,
Heat SH ref. delta temp. factor,
Heat SH Tn,
Heat SH Kp min.,
Heat SH Kp,
Heat SH KpTe,
Heat SH close setpoint,
Heat limit Tn,
Heat limit Kp,
Defrost start low pressure limit,
Defrost start time,
Defrost OD,
Defrost end closed time,
Defrost end OD time,
Defrost end OD,
Low Min S4 delay,
Low Min S4 band,
Upper temperature alarm,
Lower temperature alarm,
Temperature alarm delay,
Battery alarm,"0:Off,1:On"
MOP alarm delay,
MOP alarm differential,
LOP alarm delay,
LOP alarm differential,
Cond.temp alarm delay,
Cond. temp.alarm differential,
High SH alarm delay,
High SH alarm differential,
Low SH alarm delay,
Low SH alarm differential,
Lack of capacity alarm delay,
AI1 configuration 1B/C,"0:Not Used,1:S3,2:S4"
AI4 configuration 1C,"0:Not Used,1:ExtRef,2:pc"
AI4 configuration 1A/B,"0:Not Used,1:ExtRef"
AI5 configuration 1C,"0:Not Used,1:S3,2:S4"
DI1 configuration,"0:Not Used,1:Main Switch"
DI2 configuration,"0:Not Used,1:Defrost Start,2:Preset OD,3:Heat/Cool"
DI3 configuration,"0:Not Used,1:Defrost Start,2:Preset OD,3:Heat/Cool"
DO1 configuration,"0:Alarm,1:LLSV,2:Max cap"
S2 sensor configuration 1C,"0:Not defined,1:EKS 221,2:ACCPBT NTC10K,3:MBT 153 10K,4:112CP,5:Bus Shared,6:AKS"
S2 sensor configuration 1B,"0:Not defined,1:EKS 221,2:ACCPBT NTC10K,3:MBT 153 10K,4:112CP,5:Bus Shared"
S2 sensor configuration 1A,"0:Not defined,1:EKS 221,2:ACCPBT NTC10K,3:MBT 153 10K,4:112CP"
S3 sensor configuration 1C,"0:Not defined,1:EKS 221,2:ACCPBT NTC10K,3:MBT 153 10K,4:112CP,5:Bus Shared,6:AKS"
S3 sensor configuration 1B,"0:Not defined,1:EKS 221,2:ACCPBT NTC10K,3:MBT 153 10K,4:112CP,5:Bus Shared"
S4 sensor configuration 1C,"0:Not defined,1:EKS 221,2:ACCPBT NTC10K,3:MBT 153 10K,4:112CP,5:Bus Shared,6:AKS"
S4 sensor configuration 1B,"0:Not defined,1:EKS 221,2:ACCPBT NTC10K,3:MBT 153 10K,4:112CP,5:Bus Shared"
Pe transmitter configuration 1C,"0:Not defined,1:AKS 32R,2:ACCPBP Ratio,3:112CP,4:OEM Ratio,5:NSK,6:AKS 32 1-5V,7:OEM Voltage,8:Bus shared,9:AKS 32 1-6V,10:AKS 32 0-10V,11:AKS 33,12:XSK,13:ACCPBP Current,14:OEM Current"
Pe transmitter configuration 1B,"0:Not defined,1:AKS 32R,2:ACCPBP Ratio,3:112CP,4:OEM Ratio,5:NSK,6:AKS 32 1-5V,7:OEM Voltage,8:Bus shared"
Pe transmitter configuration 1A,"0:Not defined,1:AKS 32R,2:ACCPBP Ratio,3:112CP,4:OEM Ratio,5:NSK,6:AKS 32 1-5V,7:OEM Voltage"
Pe ratio. low,
Pe ratio high,
Pe voltage low 1C,
Pe voltage low 1A/B,
Pe voltage high 1C,
Pe voltage high 1A/B,
Pe current low,
Pe current high,
Pe transmitter min.,
Pe transmitter max.,
Pc transmitter configuration 1C,"0:Not defined,1:AKS 32R,2:ACCPBP Ratio,3:112CP,4:OEM Ratio,5:NSK,6:AKS 32 1-5V,7:OEM Voltage,8:Bus shared,9:AKS 32 1-6V,10:AKS 32 0-10V,11:AKS 33,12:XSK,13:ACCPBP Current,14:OEM Current"
Pc ratio. low,
Pc ratio high,
Pc voltage low,
Pc voltage high,
Pc current low,
Pc current high,
Pc transmitter min.,
Pc transmitter max,
Valve configuration,"0:no valve,1:UserDef,2:ETS 12C,3:ETS 24C,4:ETS 25C,5:ETS 50C,6:ETS 100C,7:ETS 6,8:ETS 12.5,9:ETS 25,10:ETS 50,11:ETS 100,12:ETS 250,13:ETS 400,14:KVS 2C,15:KVS 3C,16:KVS 5C,17:KVS 15,18:KVS 42,19:CCMT 0,20:CCMT 1,21:CCMT 2,22:CCMT 4,23:CCMT 8,24:CCMT 16,25:CCMT 24,26:CCMT 30,27:CCMT 42,28:CCM 10,29:CCM 20,30:CCM 30,31:CCM 40,32:CTR 25"
Valve motor type,"0:Unipolar,1:Bipolar"
Valve drive current,
