Group_Code,Menu_Code,Group_Name,Name,PNU,Default_Value,Minimum_Value,Maximum_Value,Unit,Scaling,Datatype,Enum,Read_Only,Help,Decimals,Variable_Name,Visibility_Index,Visibility_Rule,Alarm_Parameter_Idx,Unique_ID,ItemType,CopyType,Enum_Vis_List_Idx,Group_VisibilityIdx
,r12,Start / Stop,Main switch,117,0,-1,1,,0,,"-1:Manual,0:Stop,1:Start",0,"Start / stop of refrigeration. 
With this setting refrigeration can be started, stopped or a manual override of the outputs can be allowed. (For manual control the value is set at -1. Then the outputs can be force controlled. Start / stop of refrigeration can also be accomplished with the external switch function connected to a DI input.
Stopped control will give a ”Main switch OFF"" alarm.",0,Id_1048586,0,1,,1048586,S,N,[],0
,o01,Start / Stop,Delay of outputs at power up,2000,5,0,600,s,0,INT,,1,"Delay of output signal after start-up 
After start-up or a power failure the controller’s functions can be delayed so that overloading of the electricity supply network is avoided.  
Here you can set the time delay.",0,Id_1054510,0,1,,1054510,S,S,[],0
,o61,Configuration,Application mode,2077,1,1,5,,0,,"1:1. One evaporator MT/LT,2:2. Two evaporators MT/LT,3:3. Three evaporators MT,4:4. Coldroom 2 MT/HT,5:5. Coldroom 2 MT/LT",1,"Selection of application 
The controller covers several applications for control of a refrigerated case. Here you set which of the possible applications is required.
This menu can only be set when regulation is stopped, i.e. “r12 Main Switch” is set to 0.",0,Id_1056739,0,1,,1056739,C,S,[],0
,q09,Configuration,AO1 Configuration,2212,0,0,1,,0,,"0:None,1:Rail heat PWM",1,Select the function of the analogue output,0,Id_1056251,0,1,,1056251,C,S,[],0
,o02,Configuration,DI1 Configuration,2001,0,0,21,,0,,"0:None,1:DI status,2:Door function,3:Door alarm,4:Defrost start,5:Main switch,6:Night setback,7:Thermostat band,8:Alarm at closed,9:Alarm at open,10:Case cleaning,11:Forced cooling,12:Open blinds,13:Coordinated defrost,14:Forced closing,15:Shutdown,16:Light control,20:Leak detection,21:Adaptive liquid control",1,Select the function of the digital input,0,Id_1056200,14,GetVar(148) == 1 || GetVar(148) == 4,,1056200,C,S,[],0
,o37,Configuration,DI2 Configuration,2055,0,0,21,,0,,"0:None,1:DI status,2:Door function,3:Door alarm,4:Defrost start,5:Main switch,6:Night setback,7:Thermostat band,8:Alarm at closed,9:Alarm at open,10:Case cleaning,11:Forced cooling,12:Open blinds,13:Coordinated defrost,14:Forced closing,15:Shutdown,16:Light control,20:Leak detection,21:Adaptive liquid control",1,Select the function of the digital input,0,Id_1056217,0,1,,1056217,C,S,[],0
,o84,Configuration,DI3 Configuration,2115,0,0,21,,0,,"0:None,1:DI status,2:Door function,3:Door alarm,4:Defrost start,5:Main switch,6:Night setback,7:Thermostat band,8:Alarm at closed,9:Alarm at open,10:Case cleaning,11:Forced cooling,12:Open blinds,13:Coordinated defrost,14:Forced closing,15:Shutdown,16:Light control,20:Leak detection,21:Adaptive liquid control",1,Select the function of the digital input,0,Id_1056234,0,1,,1056234,C,S,[],0
,o30,Configuration,Refrigerant,2551,0,0,49,,0,,"0:Not seleted,6:R13,7:R13b1,2:R22,8:R23,14:R32,11:R114,3:R134a,12:R142b,24:R170,15:R227,25:R290,16:R401A,18:R402A,19:R404A,21:R407A,22:R407B,20:R407C,37:R407F,49:R407H,23:R410A,32:R413A,30:R417A,31:R422A,33:R422D,34:R427A,35:R438A,40:R448A,41:R449A,48:R449B,43:R450A,44:R452B,45:R454B,9:R500,4:R502,10:R503,17:R507,36:R513A,26:R600,27:R600a,5:R717,28:R744,46:R1233zdE,38:R1234ze,39:R1234yf,47:R1234zeZ,29:R1270,42:R452A,1:Custom display,13:Custom",1,"Select the type of refrigerant. If the required refrigerant is not part of the list, the user defined option can be used. Please contact Danfoss for detailed information

Warning: Wrong selection of refrigerant may cause damage to the system.",0,Id_1048610,0,1,,1048610,C,S,[],0
,P83,Configuration,Refrigerant factor K1,2201,300,-999,999,,0,INT,,1,Refrigerant factor for a custom refrigerant - please contact Danfoss for detailed information,0,Id_1048614,21,GetVar(149) == 1,,1048614,C,S,[],0
,P84,Configuration,Refrigerant factor K2,2202,300,-999,999,,0,INT,,1,Refrigerant factor for a custom refrigerant - please contact Danfoss for detailed information,0,Id_1048615,21,GetVar(149) == 1,,1048615,C,S,[],0
