Group_Code,Menu_Code,Group_Name,Name,PNU,Default_Value,Minimum_Value,Maximum_Value,Unit,Scaling,Datatype,Enum,Read_Only,Help,Decimals,Variable_Name,Visibility_Index,Visibility_Rule,Alarm_Parameter_Idx,Unique_ID,ItemType,CopyType,Enum_Vis_List_Idx
,r12,Start / Stop,Main switch,117,0,-1,1,,0,,"-1:Manual,0:Stop,1:Start",0,"Start / stop of refrigeration. 
With this setting refrigeration can be started, stopped or a manual override of the outputs can be allowed. (For manual control the value is set at -1. Then the outputs can be force controlled. Start / stop of refrigeration can also be accomplished with the external switch function connected to a DI input.
Stopped control will give a ”Main switch OFF"" alarm.",0,Id_1048586,0,1,,1048586,S,N,[]
,o01,Start / Stop,Delay of outputs at power up,2000,5,0,600,s,0,INT,,1,"Delay of output signal after start-up 
After start-up or a power failure the controller’s functions can be delayed so that overloading of the electricity supply network is avoided.  
Here you can set the time delay.",0,Id_1054510,0,1,,1054510,S,S,[]
,o61,Configuration,Application mode,2077,1,1,9,,0,,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom",1,"Selection of application 
The controller covers several applications for control of a refrigerated case. Here you set which of the possible applications is required.
This menu can only be set when regulation is stopped, i.e. “r12 Main Switch” is set to 0.",0,Id_1053441,0,1,,1053441,C,S,[]
,q02,Configuration,DO2 Configuration,2205,5,0,10,,0,,"0:None,1:Fans,2:Fan ECO,3:Defrost,4:Rail heat,5:Alarm,6:Light,7:Blinds,8:Compressor/LLSV,9:Compressor 2,10:Air heater",1,Select the function of the digital output,0,Id_1056110,36,GetVar(184) == 9,,1056110,C,S,[]
,q03,Configuration,DO3 Configuration,2206,8,0,10,,0,,"0:None,1:Fans,2:Fan ECO,3:Defrost,4:Rail heat,5:Alarm,6:Light,7:Blinds,8:Compressor/LLSV,9:Compressor 2,10:Air heater",1,Select the function of the digital output,0,Id_1056125,36,GetVar(184) == 9,,1056125,C,S,[]
,q04,Configuration,DO4 Configuration,2207,9,0,10,,0,,"0:None,1:Fans,2:Fan ECO,3:Defrost,4:Rail heat,5:Alarm,6:Light,7:Blinds,8:Compressor/LLSV,9:Compressor 2,10:Air heater",1,Select the function of the digital output,0,Id_1056140,36,GetVar(184) == 9,,1056140,C,S,[]
,q05,Configuration,DO5 Configuration,2208,3,0,10,,0,,"0:None,1:Fans,2:Fan ECO,3:Defrost,4:Rail heat,5:Alarm,6:Light,7:Blinds,8:Compressor/LLSV,9:Compressor 2,10:Air heater",1,Select the function of the digital output,0,Id_1056155,36,GetVar(184) == 9,,1056155,C,S,[]
,q06,Configuration,DO6 Configuration,2209,1,0,10,,0,,"0:None,1:Fans,2:Fan ECO,3:Defrost,4:Rail heat,5:Alarm,6:Light,7:Blinds,8:Compressor/LLSV,9:Compressor 2,10:Air heater",1,Select the function of the digital output,0,Id_1056170,36,GetVar(184) == 9,,1056170,C,S,[]
,q09,Configuration,AO1 Configuration,2212,0,0,1,,0,,"0:None,1:Rail heat PWM",1,Select the function of the analogue output,0,Id_1056251,0,1,,1056251,C,S,[]
,o02,Configuration,DI1 Configuration,2001,0,0,21,,0,,"0:None,1:DI status,2:Door function,3:Door alarm,4:Defrost start,5:Main switch,6:Night setback,7:Thermostat band,8:Alarm at closed,9:Alarm at open,10:Case cleaning,11:Forced cooling,12:Open blinds,13:Coordinated defrost,14:Forced closing,15:Shutdown,16:Light control,20:Leak detection,21:Adaptive liquid control",1,Select the function of the digital input,0,Id_1056200,20,GetVar(184) != 7 and GetVar(184) != 8,,1056200,C,S,[]
,o37,Configuration,DI2 Configuration,2055,0,0,21,,0,,"0:None,1:DI status,2:Door function,3:Door alarm,4:Defrost start,5:Main switch,6:Night setback,7:Thermostat band,8:Alarm at closed,9:Alarm at open,10:Case cleaning,11:Forced cooling,12:Open blinds,13:Coordinated defrost,14:Forced closing,15:Shutdown,16:Light control,20:Leak detection,21:Adaptive liquid control",1,Select the function of the digital input,0,Id_1056217,0,1,,1056217,C,S,[]
,o84,Configuration,DI3 Configuration,2115,0,0,21,,0,,"0:None,1:DI status,2:Door function,3:Door alarm,4:Defrost start,5:Main switch,6:Night setback,7:Thermostat band,8:Alarm at closed,9:Alarm at open,10:Case cleaning,11:Forced cooling,12:Open blinds,13:Coordinated defrost,14:Forced closing,15:Shutdown,16:Light control,20:Leak detection,21:Adaptive liquid control",1,Select the function of the digital input,0,Id_1056234,0,1,,1056234,C,S,[]
