ParameterName,DB_Menucode,KP_Menucode,Result,DB_DefaultValue,KP_DefaultValue,Result,DB_MinValue,KP_MinValue,Result,DB_MaxValue,KP_MaxValue,Result,DB_Unit,KP_Unit,Result,DB_Info,KP_Info,Result
Adaptive defrost,Add,Add,True,no,no,True,0,,False,1,,False,,,True,"Adaptive defrost
""no"": defrost controlled by time.
""yES"": automatic defrost control activated.","Adaptive defrost
""no"": defrost controlled by time.
""yES"": automatic defrost control activated.",True
Defrost on compressor time,dCt,dCt,True,no,no,True,0,,False,1,,False,,,True,"Defrost ON Compressor Time
If this parameter is set to ""yES"", then defrost cycles are based on the total
time the compressor has been running.
If this parameter is set to no, then defrost cycles are related to elapsed
time, regardless of how long and how often the compressor has been on.","Defrost ON Compressor Time
If this parameter is set to ""yES"", then defrost cycles are based on the total
time the compressor has been running.
If this parameter is set to no, then defrost cycles are related to elapsed
time, regardless of how long and how often the compressor has been on.",True
Voltage protection,uPt,uPt,True,no,no,True,0,,False,1,,False,,,True,"Voltage protection
""no"": no voltage protection.
""yES"": voltage protection activated based on voltage related settings.","Voltage protection
""no"": no voltage protection.
""yES"": voltage protection activated based on voltage related settings.",True
Display Range Limit,rLt,rLt,True,no ,no ,True,0,,False,1,,False,,,True,"Display Range Limit
In some point of sales applications you may want to show the desired
instead of the real temperature. This parameter sets whether the
displayed temperature is the actual temperature or whether it is restricted
to the cut-in / cut-out limits. Set to ""nO"" means that the actual temperature
will de displayed. The parameter is set to ""nO"" by default.","Display Range Limit
In some point of sales applications you may want to show the desired
instead of the real temperature. This parameter sets whether the
displayed temperature is the actual temperature or whether it is restricted
to the cut-in / cut-out limits. Set to ""nO"" means that the actual temperature
will de displayed. The parameter is set to ""nO"" by default.",True
Show Pull Down,SSC,SSC,True,No,No,True,0,,False,1,,False,,,True,"Show Pull down state
If set to ""yES"", this parameter causes the display to show SC when the
system is in pull down mode.
If set to ""nO"", the temperature continues to be displayed.","Show Pull down state
If set to ""yES"", this parameter causes the display to show SC when the
system is in pull down mode.
If set to ""nO"", the temperature continues to be displayed.",True
Show Holiday,SHo,SHo,True,No,No,True,0,,False,1,,False,,,True,"Show Holiday
""no"": display will show temperature or ECO mode during holiday mode.
""yES"": display will show ""HoL"" during holiday mode.","Show Holiday
""no"": display will show temperature or ECO mode during holiday mode.
""yES"": display will show ""HoL"" during holiday mode.",True
Show Defrost,SdF,SdF,True,No,Yes,False,0,,False,1,,False,,,True,"Show Defrost
If set to ""yES"", this parameter causes the display to show DEF when the
system is in defrost mode. If set to ""nO"", the temperature continues to
be displayed.","Show Defrost
If set to ""yES"", this parameter causes the display to show DEF when the
system is in defrost mode. If set to ""nO"", the temperature continues to
be displayed.",True
Voltage alarm,uAL,uAL,True,no,no,True,0,,False,1,,False,,,True,"Voltage alarm
""no"": no voltage alarm.
""yES"": voltage alarm activated.","Voltage alarm
""no"": no voltage alarm.
""yES"": voltage alarm activated.",True
Auto Clearance of Alarm,ACA,ACA,True,yES ,yES ,True,0,,False,1,,False,,,True,"Auto Clear of Alarm/Error/ACA
If this parameter is set to ""nO"":
The alarm status will not disappear automatically even if the condition
which caused the alarm is no longer valid or present.
If set to ""yES"":
As soon as the condition which caused the alarm is no longer valid or
present, the alarm status will automatically change back to inactive.
There will be no trace of the alarm having occurred.
In general, glass door merchandise applications will be set to ""yES"" and
commercial fridges and freezers set to ""nO"".
For example, if the temperature goes too high for a period there may
be food safety considerations in a freezer containing food but not in a
fridge with cold drinks.","Auto Clear of Alarm/Error/ACA
If this parameter is set to ""nO"":
The alarm status will not disappear automatically even if the condition
which caused the alarm is no longer valid or present.
If set to ""yES"":
As soon as the condition which caused the alarm is no longer valid or
present, the alarm status will automatically change back to inactive.
There will be no trace of the alarm having occurred.
In general, glass door merchandise applications will be set to ""yES"" and
commercial fridges and freezers set to ""nO"".
For example, if the temperature goes too high for a period there may
be food safety considerations in a freezer containing food but not in a
fridge with cold drinks.",True
MODBUS Safety,uSA,uSA,True,no,no,True,0,,False,1,,False,,,True,"MODBUS Safety
""on"": MODBUS auto detection is enabled.
""yES"": MODBUS communication is deactivaed.","MODBUS Safety
""on"": MODBUS auto detection is enabled.
""yES"": MODBUS communication is deactivaed.",True
Def. type,dFt,dFt,True,no.png,no,False,0,,False,1,,False,,,True,"Defrost Type
""no"": defrost function is disabled.
""nat"": OFF-cycle defrost (natural defrost).","Defrost Type
""no"": defrost function is disabled.
""nat"": OFF-cycle defrost (natural defrost).",True
Sensor Error Type,EHd,EHd,True,no.png,no,False,0,,False,1,,False,,,True,"Sensor Error Type
""no"": no sensor error handling.
""SEt"": in case of control sensor error, follow error run/stop time.
""Aut"": automatical sensor error handling.","Sensor Error Type
""no"": no sensor error handling.
""SEt"": in case of control sensor error, follow error run/stop time.
""Aut"": automatical sensor error handling.",True
Display Unit,CFu,CFu,True,C.png,C,False,0,,False,1,,False,,,True,"
This parameter sets the display to Fahrenheit or Celsius. Switching from
one to the other will cause all temperature settings to be automatically
updated accordingly.","
This parameter sets the display to Fahrenheit or Celsius. Switching from
one to the other will cause all temperature settings to be automatically
updated accordingly.",True
Temp sensor to display,trS,trS,True,Sco.png,Sco,False,0,,False,4,,False,,,True,"
Temp sensor to display
""SCo"": temperature control.
""EuA"": evaporator temperture.
""Con"": condenser temperature (condenser cleaning).
""AuS"": only for showing on display.
""SPt"": Setpoint (supported only for product code 080G3237).","Temp sensor to display
""SCo"": temperature control.
""EuA"": evaporator temperture.
""Con"": condenser temperature (condenser cleaning).
""AuS"": only for showing on display.",False
Display Resolution,rES,rES,True,0.1.png ,0.1,False,0,,False,2,,False,,,True,"Display Resolution
This parameter can be set to 0.1, 0.5 or 1 and affects the way the
temperature is displayed. With the parameter set to 1, the display will
only ever show temperatures rounded to the nearest whole degree.
At 0.5, it will round the temperature to the nearest half degree for display.
For example, 3.3 degrees will be shown in the display as 3.5 degrees
and 3.9 as 4.0. With the parameter set to 0.1, no rounding occurs.
This parameter does not affect the temperature itself, merely the display.","Display Resolution
This parameter can be set to 0.1, 0.5 or 1 and affects the way the
temperature is displayed. With the parameter set to 1, the display will
only ever show temperatures rounded to the nearest whole degree.
At 0.5, it will round the temperature to the nearest half degree for display.
For example, 3.3 degrees will be shown in the display as 3.5 degrees
and 3.9 as 4.0. With the parameter set to 0.1, no rounding occurs.
This parameter does not affect the temperature itself, merely the display.",True
S1 Config,S1C,S1C,True,Stn.png,Stn,False,0,,False,1,,False,,,True,"S1 Config/S1C
S2 Config/S2C
S3 Config/S3C
S4 Config/S4C
Available options are:
""Stn"": for a standard temperature sensor NTC 5 K @ 25°C and TPE precision.
""Htn"": for a high temperature sensor NTC 100 K @ 25°C.","S1 Config/S1C
S2 Config/S2C
S3 Config/S3C
S4 Config/S4C
Available options are:
""Stn"": for a standard temperature sensor NTC 5 K @ 25°C and TPE precision.
""Htn"": for a high temperature sensor NTC 100 K @ 25°C.",True
S2 Config,S2C,S2C,True,Stn.png,Stn,False,0,,False,1,,False,,,True,"S1 Config/S1C
S2 Config/S2C
S3 Config/S3C
S4 Config/S4C
Available options are:
""Stn"": for a standard temperature sensor NTC 5 K @ 25°C and TPE precision.
""Htn"": for a high temperature sensor NTC 100 K @ 25°C.","S1 Config/S1C
S2 Config/S2C
S3 Config/S3C
S4 Config/S4C
Available options are:
""Stn"": for a standard temperature sensor NTC 5 K @ 25°C and TPE precision.
""Htn"": for a high temperature sensor NTC 100 K @ 25°C.",True
S1 Application,S1A,S1A,True,Sco.png,Sco,False,0,,False,4,,False,,,True,"S1 Application/S1A
S2 Application/S2A
S3 Application/S3A
S4 Application/S4A
Available options are:
""nC"": not connected.
""SCo"": temperature control.
""EuA"": evaporator temperature.
""Con"": condenser temperature (Condenser cleaning).
""AuS"": only for showing temperature on display.","S1 Application/S1A
S2 Application/S2A
S3 Application/S3A
S4 Application/S4A
Available options are:
""nC"": not connected.
""SCo"": temperature control.
""EuA"": evaporator temperature.
""Con"": condenser temperature (Condenser cleaning).
""AuS"": only for showing temperature on display.",True
S2 Application,S2A,S2A,True,nC.png,nC,False,0,,False,4,,False,,,True,"S1 Application/S1A
S2 Application/S2A
S3 Application/S3A
S4 Application/S4A
Available options are:
""nC"": not connected.
""SCo"": temperature control.
""EuA"": evaporator temperature.
""Con"": condenser temperature (Condenser cleaning).
""AuS"": only for showing temperature on display.","S1 Application/S1A
S2 Application/S2A
S3 Application/S3A
S4 Application/S4A
Available options are:
""nC"": not connected.
""SCo"": temperature control.
""EuA"": evaporator temperature.
""Con"": condenser temperature (Condenser cleaning).
""AuS"": only for showing temperature on display.",True
DO1 Config,o1C,o1C,True,CoP.png,CoP,False,0,,False,3,,False,,,True,"D01 Config
""CoP"": direct compressor control.
""PiC"": pilot Relay (no zero cross) – if using pilot relay to control a
compressor, this option must be used instead of ""CoP"".
""HEt"": heating application, inverse output.
""PiH"": pilot heat relay (no zero cross).","D01 Config
""CoP"": direct compressor control.
""PiC"": pilot Relay (no zero cross) – if using pilot relay to control a
compressor, this option must be used instead of ""CoP"".
""HEt"": heating application, inverse output.
""PiH"": pilot heat relay (no zero cross).",True
