DB_Parameter_Name,KP_Parameter_Name,Result_Parameter_Name,DB_Menu_Code,KP_Menu_Code,Result_Menu_Code,DB_Default_Value,KP_Default_Value,Result_Default_Value,DB_Unit,KP_Unit,Result_Unit,KP_Text_Old_Value,,,
Lowest Temperature Limit,Lowest Temperature Limit,True,LSE,LSE,True,0,0.00,True,°C,°C,True,0.00
Highest Temperature Limit,Highest Temperature Limit,True,HSE,HSE,True,10,10.00,True,°C,°C,True,10.00
Lowest Temperature Differential,Lowest Temperature Differential,True,Ldi,Ldi,True,2,2.00,True,K,K,True,23.08
Highest Temperature Differential,Highest Temperature Differential,True,Hdi,Hdi,True,2,2.00,True,K,K,True,3.95
Fan Control Method,Fan Control Method,True,FCt,FCt,True,FAo,FAo,True,,,True,FAo
Fan ON Delay,Fan ON Delay,True,Fod,Fod,True,0,0,True,Secs,Secs,True,114
Fan Stop Delay,Fan Stop Delay,True,FSd,FSd,True,0,0,True,Secs,Secs,True,191
Fan On Cycle,Fan On Cycle,True,Foc,Foc,True,0,0,True,Secs,Secs,True,737
Fan Stop Cycle,Fan Stop Cycle,True,FSC,FSC,True,0,0,True,Secs,Secs,True,27
Fan Stop Time on Door Open,Fan Stop Time on Door Open,True,Fdt,Fdt,True,900,900,True,Secs,Secs,True,631
Fan Minimum Stop Time,Fan Minimum Stop Time,True,FSt,FSt,True,10,10,True,Secs,Secs,True,313
Fan Limit Temperature,Fan Limit Temperature,True,FLt,FLt,True,50,50.00,True,°C,°C,True,18.11
Min Run time,Min Run time,True,Crt,Crt,True,0,0,True,Secs,Secs,True,667
Min Stop time,Min Stop time,True,CSt,CSt,True,120,120,True,Secs,Secs,True,1726
Compressor Door open delay,Compressor Door open delay,True,Cdd,Cdd,True,0,0,True,Mins,Mins,True,8
System Resume after door open,System Resume after door open,True,Srt,Srt,True,0,0,True,Mins,Mins,True,20
Power On Delay,Power On Delay,True,Pod,Pod,True,300,300,True,Secs,Secs,True,173
Low temp Alarm limit,Low temp Alarm limit,True,LAt,LAt,True,-5,-5.00,True,°C,°C,True,-5.00
High temp Alarm limit,High temp Alarm limit,True,HAt,HAt,True,15,15.00,True,°C,°C,True,15.00
Low temp Alarm delay,Low temp Alarm delay,True,Ltd,Ltd,True,0,0,True,Mins,Mins,True,229
High temp Alarm delay,High temp Alarm delay,True,Htd,Htd,True,30,30,True,Mins,Mins,True,16
Alarm Door open delay,Alarm Door open delay,True,dod,dod,True,2,2,True,Mins,Mins,True,24
ECO Mode ON/OFF,ECO Mode ON/OFF,True,Eco,Eco,True,No,No,True,,,True,No
Voltage Protection function,Voltage Protection function,True,uPt,uPt,True,No,No,True,,,True,No
