ID,Object_Name,Keyword,Tooltip,Value,Result
,,,,,
2,:KoolProg_Window,Enable,,TRUE,TRUE1
,,,,,
3,:KoolProg_Window,Type,,Window,TRUE
,,,,,
4,{container=':KoolProg_Window' type='Image'},Enable,,TRUE,TRUE
,,,,,
5,:KoolProg.KoolProg®_Label,Enable,,TRUE,TRUE
,,,,,
6,:KoolProg.KoolProg®_Label,Text,,KoolProg®,TRUE
,,,,,
7,:_MenuItem,Enable,,TRUE,TRUE
,,,,,
8,{container=':KoolProg_Window' name='btnSettings' text='System.Windows.Controls.Image' type='Button'},Enable,,TRUE,TRUE
,,,,,
9,:KoolProg.User_Label,Enable,,TRUE,TRUE
,,,,,
10,:KoolProg.User_Label,Text,,User,TRUE
,,,,,
11,:_MenuItem,Tooltip,Help,,TRUE
,,,,,
12,{container=':KoolProg_Window' name='btnSettings' text='System.Windows.Controls.Image' type='Button'},Tooltip,Preferences,,TRUE
,,,,,
13,{container=':KoolProg_Window' name='imgSetParams' type='Image'},Enable,,TRUE,TRUE
,,,,,
14,{container=':KoolProg_Window' name='imgCopycontroller' type='Image'},Enable,,TRUE,TRUE
,,,,,
15,{container=':KoolProg_Window' name='imgServicetest' type='Image'},Enable,,TRUE,TRUE
,,,,,
16,{container=':KoolProg_Window' name='btnSetparameters'  text='System.Windows.Controls.DockPanel' type='Button'},Tooltip,Create and work on configuration files offline,,TRUE
,,,,,
17,{container=':KoolProg_Window' name='btnCopytocontroller' text='System.Windows.Controls.DockPanel' type='Button'},Tooltip,Program controllers with saved configurations on your PC/Laptop,,TRUE
,,,,,
18,{container=':KoolProg_Window' name='btnServiceTest' text='System.Windows.Controls.DockPanel' type='Button'},Tooltip,"Trend, monitor and analyze controller behaviour",,TRUE
,,,,,
19,:KoolProg.Set parameters_Label,Text,,Set parameters,TRUE
,,,,,
20,:KoolProg.Copy to controller_Label,Text,,Copy to controller,TRUE
,,,,,
21,:KoolProg.Service and test_Label,Text,,Service and test,TRUE
,,,,,
24,:KoolProg.www.danfoss.com_Label,Enable,,TRUE,TRUE
,,,,,
25,:KoolProg.www.danfoss.com_Label,Text,,www.danfoss.com,TRUE
,,,,,
27,{container=':KoolProg_Window' name='imgSetParams' type='Image'},Click_Button,,,TRUE
,,,,,
28,:SetParameters_Window,Enable,,TRUE,TRUE
,,,,,
29,:SetParameters_Window,Type,,Window,TRUE
,,,,,
30,:_MenuItem,Enable_Popup,,FALSE,TRUE
,,,,,
31,{container=':KoolProg_Window' name='btnSettings' text='System.Windows.Controls.Image' type='Button'},Enable_Popup,,FALSE,TRUE
,,,,,
32,{container=':KoolProg_Window' name='imgSetParams' type='Image'},Enable_S,,TRUE,TRUE
,,,,,
33,{container=':KoolProg_Window' name='imgCopycontroller' type='Image'},Enable_Popup,,FALSE,TRUE
,,,,,
34,{container=':KoolProg_Window' name='imgServicetest' type='Image'},Enable_Popup,,FALSE,TRUE
,,,,,
37,:SetParameters.X_Button,Enable,,TRUE,TRUE
,,,,,
38,:SetParameters.X_Button,Tooltip,Close,,TRUE
,,,,,
40,:SetParameters.Recent Projects_Label,Enable,,TRUE,TRUE
,,,,,
41,:SetParameters.Recent Projects_Label,Text,,Recent Projects,TRUE
,,,,,
42,:SetParameters.Project_Label,Enable,,TRUE,TRUE
,,,,,
43,:SetParameters.Project_Label,Text,,Project,TRUE
