DB_Parameter_Name,KP_Parameter_Name,KP_Random_Value,KP_Current_Value,Result
Fan Control Method,Fan Control Method,"FPL",FPL,True
ECO Mode ON/OFF,ECO Mode ON/OFF,"Yes",Yes,True
Voltage Protection function,Voltage Protection function,"No",Yes,False
Initial pull down ON/OFF,Initial pull down ON/OFF,"Off",Off,True
Control sensor error handling type,Control sensor error handling type,"No",No,True
Sensor Type,Sensor Type,"NTC10K",NTC5K,False
S2 Config,S2 Config,"dES",doC,False
Relay 2 Config,Relay 2 Config,"ALA",ALA,True
Defrost type,Defrost type,"nAt",No,False
Defrost On accumulated Compressor Run Time,Defrost On accumulated Compressor Run Time,"No",No,True
Fan ON during Defrost,Fan ON during Defrost,"No",No,True
S3 Config,S3 Config,"ESt",ESt,True
Cabinet Light Control (Normal mode),Cabinet Light Control (Normal mode),"on",on,True
Cabinet light control (ECO mode),Cabinet light control (ECO mode),"oFF",oFF,True
Holiday Mode ,Holiday Mode ,"No",Yes,False
Automatic Heater Control Mode ,Automatic Heater Control Mode ,"Yes",Yes,True
Fan Control Method,Fan Control Method,"FFc",FPL,False
ECO Mode ON/OFF,ECO Mode ON/OFF,"No",Yes,False
Voltage Protection function,Voltage Protection function,"No",Yes,False
Initial pull down ON/OFF,Initial pull down ON/OFF,"On",Off,False
Control sensor error handling type,Control sensor error handling type,"No",No,True
Sensor Type,Sensor Type,"NTC5K",NTC5K,True
S2 Config,S2 Config,"doC",doC,True
Relay 2 Config,Relay 2 Config,"Scc",ALA,False
Defrost type,Defrost type,"No",No,True
Defrost On accumulated Compressor Run Time,Defrost On accumulated Compressor Run Time,"No",No,True
Fan ON during Defrost,Fan ON during Defrost,"No",No,True
S3 Config,S3 Config,"doC",ESt,False
Cabinet Light Control (Normal mode),Cabinet Light Control (Normal mode),"on",on,True
Cabinet light control (ECO mode),Cabinet light control (ECO mode),"on",oFF,False
Holiday Mode ,Holiday Mode ,"No",Yes,False
Automatic Heater Control Mode ,Automatic Heater Control Mode ,"Yes",Yes,True
Lowest Temperature Differential,Lowest Temperature Differential,"47.79",47.79,True
Highest Temperature Differential,Highest Temperature Differential,"9.96",9.96,True
Fan Control Method,Fan Control Method,"FPL",FPL,True
Fan ON Delay,Fan ON Delay,"69",69,True
Fan Stop Delay,Fan Stop Delay,"92",92,True
Fan On Cycle,Fan On Cycle,"85",85,True
Fan Stop Cycle,Fan Stop Cycle,"637",637,True
Fan Stop Time on Door Open,Fan Stop Time on Door Open,"215",215,True
Fan Minimum Stop Time,Fan Minimum Stop Time,"708",708,True
Fan Limit Temperature,Fan Limit Temperature,"7.53",7.53,True
Min Run time,Min Run time,"1626",1626,True
Min Stop time,Min Stop time,"440",440,True
Compressor Door open delay,Compressor Door open delay,"11",11,True
System Resume after door open,System Resume after door open,"37",37,True
Power On Delay,Power On Delay,"146",146,True
Low temp Alarm delay,Low temp Alarm delay,"8",8,True
High temp Alarm delay,High temp Alarm delay,"24",24,True
Alarm Door open delay,Alarm Door open delay,"35",35,True
ECO Mode ON/OFF,ECO Mode ON/OFF,"Yes",Yes,True
Voltage Protection function,Voltage Protection function,"Yes",Yes,True
Alarm delay during Pull Down/ Power up /defrost,Alarm delay during Pull Down/ Power up /defrost,"783",783,True
Initial pull down ON/OFF,Initial pull down ON/OFF,"Off",Off,True
Maximum cut out Voltage,Maximum cut out Voltage,"156",156,True
IPD and Pull down Duration,IPD and Pull down Duration,"44",44,True
Pull down and IPD Initiate Temp,Pull down and IPD Initiate Temp,"61.39",61.39,True
Pull Down Limit Temp,Pull Down Limit Temp,"31.15",31.15,True
Eco Offset,Eco Offset,"3.21",3.21,True
Eco Door Delay,Eco Door Delay,"200",200,True
Control sensor error handling type,Control sensor error handling type,"No",No,True
Error Run Time,Error Run Time,"21",21,True
Error Stop Time,Error Stop Time,"48",48,True
Sensor Type,Sensor Type,"NTC5K",NTC5K,True
S2 Config,S2 Config,"doC",doC,True
Relay 2 Config,Relay 2 Config,"ALA",ALA,True
Defrost type,Defrost type,"No",No,True
Maximum defrost Time,Maximum defrost Time,"475",475,True
Defrost Terminate Temp,Defrost Terminate Temp,"17.59",17.59,True
Defrost On accumulated Compressor Run Time,Defrost On accumulated Compressor Run Time,"No",No,True
Defrost Start by Evap Temp,Defrost Start by Evap Temp,"-11.31",-11.31,True
Drip Off time,Drip Off time,"21",21,True
Fan Delay After Defrost,Fan Delay After Defrost,"653",653,True
Fan Start Temperature after defrost,Fan Start Temperature after defrost,"23.29",23.29,True
Fan ON during Defrost,Fan ON during Defrost,"No",No,True
Initial Defrost Interval,Initial Defrost Interval,"145",145,True
Initial defrost duration,Initial defrost duration,"823",823,True
S3 Config,S3 Config,"ESt",ESt,True
Second Compressor start delay,Second Compressor start delay,"911",911,True
Leakage Alarm Compressor Run Time,Leakage Alarm Compressor Run Time,"30",30,True
Minimum defrost time,Minimum defrost time,"156",156,True
Cabinet Light Control (Normal mode),Cabinet Light Control (Normal mode),"on",on,True
Cabinet light control (ECO mode),Cabinet light control (ECO mode),"oFF",oFF,True
Light OFF delay,Light OFF delay,"298",298,True
Holiday Mode ,Holiday Mode ,"Yes",Yes,True
Holiday Length,Holiday Length,"725",725,True
Holiday Temperature offset,Holiday Temperature offset,"-6.07",-6.07,True
Automatic Heater Control Mode ,Automatic Heater Control Mode ,"Yes",Yes,True
Heater low set point,Heater low set point,"91.4",91.40,False
Heater high set point,Heater high set point,"-8.89",-8.89,True
Heater low differential,Heater low differential,"38.19",38.19,True
Heater High differential,Heater High differential,"2.62",2.62,True
Energy mode delay,Energy mode delay,"210",210,True
