DB_Parameter_Name,KP_Parameter_Name,KP_Random_Value,KP_Current_Value,Result
Fan Control Method,Fan Control Method,"FAo",FAo,True
ECO Mode ON/OFF,ECO Mode ON/OFF,"Yes",Yes,True
Voltage Protection function,Voltage Protection function,"Yes",No,False
Operating mode,Operating mode,"Service Mode",Normal Mode,False
Initial pull down ON/OFF,Initial pull down ON/OFF,"On",On,True
Relay 1 Switch,Relay 1 Switch,"Off",On,True
Relay 2 Switch,Relay 2 Switch,"Off",On,True
Control sensor error handling type,Control sensor error handling type,"No",Aut,False
Zero Cross Config,Zero Cross Config,"No",Yes,False
Sensor Type,Sensor Type,"NTC5K",PTC,False
S2 Config,S2 Config,"EUA",Pud,False
Relay 2 Config,Relay 2 Config,"Scc",Scc,True
Defrost type,Defrost type,"EL",No,False
Defrost On accumulated Compressor Run Time,Defrost On accumulated Compressor Run Time,"No",No,True
Fan ON during Defrost,Fan ON during Defrost,"No",Yes,False
S3 Config,S3 Config,"dES",dES,True
Relay 3 Config,Relay 3 Config,"nc",Scc,False
Cabinet Light Control (Normal mode),Cabinet Light Control (Normal mode),"dor",oFF,False
Cabinet light control (ECO mode),Cabinet light control (ECO mode),"on",dor,False
Holiday Mode ,Holiday Mode ,"No",No,True
Automatic Heater Control Mode ,Automatic Heater Control Mode ,"Yes",No,False
Fan Control Method,Fan Control Method,"FPL",FAo,False
ECO Mode ON/OFF,ECO Mode ON/OFF,"No",Yes,False
Voltage Protection function,Voltage Protection function,"No",No,True
Operating mode,Operating mode,"Service Mode",Normal Mode,False
Initial pull down ON/OFF,Initial pull down ON/OFF,"On",On,True
Relay 1 Switch,Relay 1 Switch,"On",On,True
Relay 2 Switch,Relay 2 Switch,"On",On,True
Control sensor error handling type,Control sensor error handling type,"No",Aut,False
Zero Cross Config,Zero Cross Config,"No",Yes,False
Sensor Type,Sensor Type,"NTC5K",PTC,False
S2 Config,S2 Config,"dES",Pud,False
Relay 2 Config,Relay 2 Config,"ALA",Scc,False
Defrost type,Defrost type,"No",No,True
Defrost On accumulated Compressor Run Time,Defrost On accumulated Compressor Run Time,"No",No,True
