Idx,Parameter_Name,Random_value,KP_value,Result
Voltage protection,"No",,Yes,False
Sensor type,"n10",,ptc,False
Display Unit,"°F",,°C,False
Defrost Method,"Hotgas",,Natural,False
DI1 configuration,"rFd",,nig,False
Cooling/Heating,"Cooling",,Cooling,False
Display Resolution ,"0.5",,1,False
DI1 polarity,"nc",,nc,False
Keyboard lock,"No",,No,False
Defrost Method,"None",,Natural,False
Defrost Stop Sensor,"Sair temp Sensor",,None,False
Voltage protection,"Yes",,Yes,False
Sensor type,"pt1",,ptc,False
Display Unit,"°C",,°C,False
Defrost Method,"None",,Natural,False
DI1 configuration,"EAL",,nig,False
Cooling/Heating,"Heating",,Cooling,False
Display Resolution ,"1",,1,False
DI1 polarity,"no",,nc,False
Keyboard lock,"yes",,No,False
Defrost Method,"None",,Natural,False
Defrost Stop Sensor,"None",,None,False
Alarm delay - Normal conditions,Alarm delay - Normal conditions,"31",31,True
Alarm delay - pulldown/startup/def,Alarm delay - pulldown/startup/def,"40",40,True
High temp alarm,High temp alarm,"112.7",112.70,False
Low temp alarm,Low temp alarm,"-65.43",-65.43,True
DI1 delay,DI1 delay,"105",105,True
Condenser High temp alarm,Condenser High temp alarm,"38.02",38.02,True
Condenser High block limit,Condenser High block limit,"59.77",59.77,True
Voltage protection,"Yes",,Yes,False
Min cut-in voltage,Min cut-in voltage,"20",20,True
Min cut-out voltage,Min cut-out voltage,"124",124,True
Max voltage,Max voltage,"57",57,True
Compressor min ON time,Compressor min ON time,"4",4,True
Compressor min OFF time,Compressor min OFF time,"8",8,True
Comp OFF delay at open door,Comp OFF delay at open door,"10",10,True
Sensor type,"ptc",,ptc,False
Temperature Setpoint,Temperature Setpoint,"80.35",80.35,True
Differential,Differential,"15.86",15.86,True
Min set point limit,Min set point limit,"121.26",121.26,True
Max set point limit,Max set point limit,"-65.71",-65.71,True
Display offset,Display offset,"8.16",8.16,True
Display Unit,"°C",,°C,False
Calibration of Sair,Calibration of Sair,"15.01",15.01,True
Night Set back,Night Set back,"-16.0",-16.00,False
Offset reference displacement,Offset reference displacement,"2.28",2.28,True
Pull down duration,Pull down duration,"671",671,True
Pull down temp limit,Pull down temp limit,"96.11",96.11,True
Defrost Method,"Electric",,Natural,False
Defrost stop temperature,Defrost stop temperature,"4.36",4.36,True
Defrost Interval,Defrost Interval,"125",125,True
Max defrost Time,Max defrost Time,"281",281,True
Defrost delay at power up,Defrost delay at power up,"147",147,True
Drip delay,Drip delay,"11",11,True
Comp accumulated runtime,Comp accumulated runtime,"90",90,True
Defrost delay after pulldown ,Defrost delay after pulldown ,"762",762,True
Delay of outputs at startup,Delay of outputs at startup,"399",399,True
DI1 configuration,"nig",,nig,False
Serial address,Serial address,"238",238,True
Password,Password,"642",642,True
Cooling/Heating,"Cooling",,Cooling,False
Display Resolution ,"1",,1,False
DI1 polarity,"nc",,nc,False
Keyboard lock,"No",,No,False
Defrost Method,"Natural",,Natural,False
Defrost Stop Sensor,"None",,None,False
