ID,Object_Name,Keyword,Tooltip,Value,Result
2,:KoolProg_Window,Enable,,true,True
3,:KoolProg_Window,Type,,Window,True
4,{container=':KoolProg_Window' type='Image'},Enable,,true,True
5,:KoolProg.KoolProg®_Label,Enable,,true,True
6,:KoolProg.KoolProg®_Label,Text,,KoolProg®,True
7,:_MenuItem,Enable,,true,True
8,{container=':KoolProg_Window' name='btnSettings' text='System.Windows.Controls.Image' type='Button'},Enable,,true,True
9,:KoolProg.User_Label,Enable,,true,True
10,:KoolProg.User_Label,Text,,User,True
11,:_MenuItem,Tooltip,Help,,True
12,{container=':KoolProg_Window' name='btnSettings' text='System.Windows.Controls.Image' type='Button'},Tooltip,Preferences,,True
13,{container=':KoolProg_Window' name='imgCopycontroller' type='Image'},Enable,,true,True
14,{container=':KoolProg_Window' name='imgServicetest' type='Image'},Enable,,true,True
15,{container=':KoolProg_Window' name='btnSetparameters'  text='System.Windows.Controls.DockPanel' type='Button'},Tooltip,Create and work on configuration files offline,,True
16,{container=':KoolProg_Window' name='btnCopytocontroller' text='System.Windows.Controls.DockPanel' type='Button'},Tooltip,Program controllers with saved configurations on your PC/Laptop,,True
17,{container=':KoolProg_Window' name='btnServiceTest' text='System.Windows.Controls.DockPanel' type='Button'},Tooltip,"Trend, monitor and analyze controller behaviour",,True
18,:KoolProg.Set parameters_Label,Text,,Set parameters,True
19,:KoolProg.Copy to controller_Label,Text,,Copy to controller,True
20,:KoolProg.On,line service_Label,Text,,On
21,:KoolProg.www.danfoss.com_Label,Enable,,true,True
22,:KoolProg.www.danfoss.com_Label,Text,,www.danfoss.com,True
24,{container=':KoolProg_Window' name='imgCopycontroller' type='Image'},Click_Button,,,True
25,:KoolProg_Window,Enable,,true,True
26,:KoolProg_Window,Type,,Window,True
27,,Snooze,,,True
28,,Snooze,,,True
29,{container=':KoolProg_Window' name='btnHome' text='System.Windows.Controls.Image' type='Button'},Enable,,true,True
30,{container=':KoolProg_Window' name='btnHome' text='System.Windows.Controls.Image' type='Button'},Tooltip,Home,,True
31,:_MenuItem,Enable,,true,True
32,:_MenuItem,Tooltip,Help,,True
33,:KoolProg.User_Label,Enable,,true,True
34,:KoolProg.User_Label,Text,,User,True
35,:KoolProg.COPY TO CONTROLLER_Label,Enable,,true,True
36,:KoolProg.COPY TO CONTROLLER_Label,Text,,COPY TO CONTROLLER,True
37,:KoolProg.Select file:_Label,Enable,,true,True
38,:KoolProg.Select file:_Label,Text,,Select file:,True
39,:_Edit,Enable,,true,True
40,:KoolProg.BROWSE_Button,Enable,,true,True
41,:KoolProg.BROWSE_Button,Text,,BROWSE,True
43,:KoolProg.SET AS FAVOURITE_Button,Enable,,true,True
44,:KoolProg.SET AS FAVOURITE_Button,Visible_F,,false,True
45,{container=':KoolProg_Window' name='dgFavoriteFiles' type='Table'},Enable,,true,True
46,{container=':KoolProg_Window' name='dgFavoriteFiles' type='Table'},Visible_F,,false,True
48,:KoolProg_Image_4,Enable,,true,True
49,:KoolProg_Image_4,Type,,Image,True
50,{container=':KoolProg_Window' name='btnConnectedDeviceInfo' text='i' type='Button'},Tooltip,Info,,True
52,,Snooze,,,True
53,{container=':KoolProg_Window' name='btnConnectedDeviceInfo' text='i' type='Button'},Click_Button,,,True
54,:Product information_Window,Enable,,true,True
55,:Product information_Window,Type,,Window,True
56,{container=':KoolProg_Window' name='btnHome' text='System.Windows.Controls.Image' type='Button'},Enable_Popup,,false,True
57,:_MenuItem,Enable_Popup,,false,True
58,:KoolProg.BROWSE_Button,Enable_Popup,,false,True
59,{container=':KoolProg_Window' name='btnConnectedDeviceInfo' text='i' type='Button'},Enable_S,,true,True
60,:KoolProg.Single controller programming_RadioButton,Enable_Popup,,false,True
