ParameterName,DB_Menucode,KP_Menucode,Result,DB_DefaultValue,KP_DefaultValue,Result,DB_MinValue,KP_MinValue,Result,DB_MaxValue,KP_MaxValue,Result,DB_Unit,KP_Unit,Result,DB_Info,KP_Info,Result,KP_Text_Old_Value
Sensor Type,SEn,SEn,True,NTC10K,NTC10K,True,,,True,,,True,,,True,"Sensor type (All sensors must be of same type)
NTC5K - NTC 5000 Ohm at 25 °C (Beta value=3980 @ 25/100 °C)
NTC10K - NTC 10000 Ohm at 25 °C (Beta Value 3980 @ 25/100 °C)
PTC - PTC 990 ","Sensor type being used (All sensors must be of same type)NTC5K - NTC 5000 Ohm at 25 °C, (Beta value=3980 at 25/100 °C )NTC10K - NTC 10000 Ohm at 25 °C, (Beta value=3435 at 25/85 °C)PTC - PTC 990 ",False,NTC10K
S2 Configuration,S2C,S2c,False,EuA,EuA,True,,,True,,,True,,,True,"Desired configuration for S2 port
nC- Not used/configured
Con- Condenser Sensor
EuA- Defrost/evap Sensor
doC- Door Sensor (Normally closed type)
doo- Door Sensor (Normally open type)
ESP- Eco Switch - Push button type
ESt- ECO Switch - Toggle type
Pud- Pull down switch - Push Button type only
dES- Defrost switch -- Push Button type only","Desired configuration for S2 portnC- Not used/configuredCon- Condenser SensorEuA- Defrost/evap SensordoC- Door Sensor (Normally closed type)doo- Door Sensor (Normally open type)ESP- Eco Switch - Push button typeESt- ECO Switch - Toggle typePud- Pull down switch - Push Button type onlydES- Defrost switch -- Push Button type only",False,EuA
S3 Configuration,S3C,S3c,False,nC,nC,True,,,True,,,True,,,True,"Desired configuration for S3 port
nC- Not used/configured
Con- Condenser Sensor
EuA- Defrost/evap Sensor
doC- Door Sensor (Normally closed type)
doo- Door Sensor (Normally open type)
ESP- Eco Switch - Push button type
ESt- ECO Switch - Toggle type
Pud- Pull down switch - Push Button type only
dES- Defrost switch -- Push Button type only","Desired configuration for S3 portnC- Not used/configuredCon- Condenser SensorEuA- Defrost/evap SensordoC- Door Sensor (Normally closed type)doo- Door Sensor (Normally open type)ESP- Eco Switch - Push button typeEST- ECO Switch - Toggle typePud- Pull down switch - Push Button type onlydES- Defrost switch -- Push Button type only",False,doo
Relay 2 Config,o2C,o2C,True,dEF,dEF,True,,,True,,,True,,,True,"Desired configuration for relay 2
nC-Not Connected
dEF- Configured for defrost heater or defrost valve
FAn- Configured for evaporator fan
LIg - Configured for Cabinet Light
ALA- Configured for External Alarm
Scc - Second compressor","Desired configuration for relay 2nC-Not ConnecteddEF- Configured for defrost heater or defrost valveFAn- Configured for evaporator fanLIg - Configured for Cabinet LightALA- Configured for External AlarmScc - Second compressor",False,
Lowest Temperature Limit,LSE,LSE,True,0,0.00,True,-100,-100.00,True,120,120.00,True,°C,°C,True,Cut out temperature at coldest position of the spindle (thermostat kNob),Cut out temperature at coldest position of the spindle (thermostat kNob),True,10.00
Highest Temperature Limit,HSE,HSE,True,10,10.00,True,-100,-100.00,True,120,120.00,True,°C,°C,True,Cut out temperature at warmest position of the spindle (thermostat kNob),Cut out temperature at warmest position of the spindle (thermostat kNob),True,10.00
Lowest Temperature Differential,Ldi,Ldi,True,2,2.00,True,1,1.00,True,50,50.00,True,°K,K,False,This defines the difference between the cut-out and the cut-in at coldest position of thermostat,This defines the difference between the cut-out and the cut-in at coldest position of thermostat,True,27.63
Highest Temperature Differential,Hdi,Hdi,True,2,2.00,True,1,1.00,True,50,50.00,True,°K,K,False,This defines the difference between the cut-out and the cut-in at warmest position of thermostat,This defines the difference between the cut-out and the cut-in at warmest position of thermostat,True,49.92
Initial pull down ON/OFF,IPE,IPE,True,OFF,Off,False,,,True,,,True,,,True,"Initial Pull down 
oFF- Disable
on- Enable
Initial pull down (IPD) is to provide faster cooling when the cabinet is powered up with warmer inside temperature.  During IPD, defrost will be skipped until cabinet air temperature reaches cut out temperature or IPD duration expires. IPD operates only during power up and can be enabled/disabled using this parameter","Initial Pull down oFF- Disableon- EnableInitial pull down (IPD) is to provide faster cooling when the cabinet is powered up with warmer inside temperature.  During IPD, defrost will be skipped until cabinet air temperature reaches cut out temperature or IPD duration expires. IPD operates only during power up and can be enabled/disabled using this parameter",False,ON
IPD and Pull down Duration,IPD,IPD,True,0,0,True,0,0,True,120,120,True,Hrs,Hrs,True,Maximum time IPD and Pull down can run. IPD and Pull down will terminate as soon as this time expires regardless of cab air temperature,Maximum time IPD and Pull down can run. IPD and Pull down will terminate as soon as this time expires regardless of cab air temperature,True,62
